"imputation","iteration","suggested_factors","item_removed","removal_reason","removal_value","communality","complexity","highest_loading"
3,6,27,"Aware_Body","communality",0.2,0.2,3.31,0.34
3,7,27,"Intercourse_Pain","communality",0.23,0.23,6.82,0.23
3,8,27,"Without_skill","communality",0.23,0.23,1.43,0.44
3,9,27,"When_Difficult","communality",0.17,0.17,2.41,0.34
3,10,27,"Approach_Health","communality",0.21,0.21,3.36,0.25
3,11,27,"Leaking_Urine","communality",0.24,0.24,2.63,0.33
3,12,27,"Bad_Happens_Prevented","communality",0.24,0.24,6.49,0.23
3,13,27,"Releived_No_Responsibility","communality",0.24,0.24,2.94,0.34
3,14,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.22,0.51
3,15,26,"Low_Pain_Tolerance","communality",0.22,0.22,6.72,0.25
3,16,26,"Loud_Noise","communality",0.24,0.24,9.99,0.17
3,17,26,"Hate_Temp","communality",0.24,0.24,6.79,0.21
3,18,26,"Headache_Frequency","communality",0.25,0.25,7.82,0.2
3,19,26,"Mental_Emotional","max_loading",0.22,0.38,6.76,0.22
3,20,26,"Exciting_Look_Forward","max_loading",0.22,0.54,8.31,0.22
3,21,26,"Trust_Friends","max_loading",0.24,0.48,7.54,0.24
3,22,26,"High_Standards","max_loading",0.25,0.45,8.37,0.25
3,23,26,"People_Take_Advantage","max_loading",0.24,0.47,7.53,0.24
3,24,26,"Actively_Carry_Plans","max_loading",0.24,0.54,6.56,0.24
3,25,26,"Some_Wander_Aimlessly","max_loading",0.24,0.46,4.88,0.24
3,26,26,"Worthless_Freq","max_loading",0.24,0.82,8.54,0.24
3,27,26,"Nothing_Cheer","max_loading",0.24,0.72,9.03,0.24
3,28,25,"Careless","max_loading",0.22,0.3,8.16,0.22
3,29,25,"Avoid_Distraction","max_loading",0.25,0.32,6.25,0.25
3,30,25,"Positive_About_Self","max_loading",0.26,0.78,9.65,0.26
3,31,25,"Worry_Frequency","max_loading",0.27,0.41,5.03,0.27
3,32,25,"Dont_Fit_Community","max_loading",0.28,0.5,5.98,0.28
3,33,25,"Expect_The_Best","max_loading",0.28,0.36,6.42,0.28
3,34,25,"Optimistic_About_Future","max_loading",0.27,0.48,5.78,0.27
3,35,24,"Choose_Goals","communality",0.17,0.17,6.29,0.26
3,36,24,"To_Reach_Goals","communality",0.16,0.16,5.4,0.18
3,37,24,"More_Sucessful","max_loading",0.29,0.4,4.05,0.29
3,38,24,"Everything_Effort","max_loading",0.29,0.58,5.07,0.29
3,39,24,"Upset_Think_Day","max_loading",0.29,0.53,5.78,0.29
3,40,24,"Minor_Setback_Irritate","max_loading",0.29,0.49,4.6,0.29
4,1,28,"Sympathy_Limits","communality",0.12,0.12,6.41,0.19
4,2,28,"Worry_Compare","communality",0.13,0.13,4.98,0.22
4,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.16,0.31
4,4,27,"Alcohol_More_Than_Intended","communality",0.19,0.19,10.85,0.16
4,5,27,"Should_Obey_Law","communality",0.19,0.19,6.65,0.2
4,6,27,"Aware_Body","communality",0.2,0.2,3.23,0.34
4,7,27,"Without_skill","communality",0.23,0.23,1.42,0.44
4,8,27,"When_Difficult","communality",0.16,0.16,2.42,0.33
4,9,27,"Approach_Health","communality",0.21,0.21,3.52,0.24
4,10,27,"Intercourse_Pain","communality",0.23,0.23,6.14,0.24
4,11,27,"Leaking_Urine","communality",0.24,0.24,2.73,0.33
4,12,27,"Releived_No_Responsibility","communality",0.24,0.24,3.1,0.33
4,13,27,"Bad_Happens_Prevented","communality",0.24,0.24,6.52,0.22
4,14,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.23,0.51
4,15,26,"Low_Pain_Tolerance","communality",0.22,0.22,7.15,0.25
4,16,26,"Loud_Noise","communality",0.24,0.24,9.78,0.18
4,17,26,"Hate_Temp","communality",0.23,0.23,6.96,0.2
4,18,26,"Headache_Frequency","communality",0.25,0.25,7.57,0.2
4,19,26,"Mental_Emotional","max_loading",0.22,0.38,6.67,0.22
4,20,26,"Exciting_Look_Forward","max_loading",0.22,0.54,8.41,0.22
4,21,26,"Trust_Friends","max_loading",0.24,0.48,7.6,0.24
4,22,26,"High_Standards","max_loading",0.25,0.45,8.61,0.25
4,23,26,"Avoid_Distraction","max_loading",0.25,0.32,6.31,0.25
4,24,26,"Worthless_Freq","max_loading",0.25,0.82,8.35,0.25
4,25,26,"Nothing_Cheer","max_loading",0.24,0.72,8.47,0.24
4,26,25,"Careless","max_loading",0.2,0.3,8.9,0.2
4,27,25,"Some_Wander_Aimlessly","max_loading",0.25,0.47,5.07,0.25
4,28,25,"Lonely_Frequency","max_loading",0.26,0.66,6.62,0.26
4,29,25,"Positive_About_Self","max_loading",0.23,0.78,10.34,0.23
4,30,24,"Choose_Goals","communality",0.25,0.25,6.34,0.28
4,31,24,"To_Reach_Goals","communality",0.16,0.16,5.89,0.18
4,32,24,"Worry_Frequency","max_loading",0.26,0.4,4.96,0.26
4,33,24,"Upset_Think_Day","max_loading",0.28,0.54,5.81,0.28
4,34,23,"Sense_Of_Direction","max_loading",0.3,0.61,5.15,0.3
4,35,23,"Actively_Carry_Plans","max_loading",0.3,0.53,4.46,0.3
4,36,23,"Everything_Effort","max_loading",0.3,0.58,5.12,0.3
5,1,28,"Sympathy_Limits","communality",0.12,0.12,6.02,0.2
5,2,28,"Worry_Compare","communality",0.13,0.13,5.25,0.21
5,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.15,0.31
5,4,27,"Should_Obey_Law","communality",0.19,0.19,6.98,0.2
5,5,27,"Alcohol_More_Than_Intended","communality",0.19,0.19,9.8,0.17
5,6,27,"Aware_Body","communality",0.2,0.2,3.28,0.34
5,7,27,"Without_skill","communality",0.23,0.23,1.43,0.44
5,8,27,"When_Difficult","communality",0.17,0.17,2.49,0.34
5,9,27,"Approach_Health","communality",0.21,0.21,3.58,0.24
5,10,27,"Intercourse_Pain","communality",0.23,0.23,6.07,0.24
5,11,27,"Leaking_Urine","communality",0.23,0.23,2.59,0.33
5,12,27,"Bad_Happens_Prevented","communality",0.24,0.24,6.53,0.22
5,13,27,"Releived_No_Responsibility","communality",0.24,0.24,2.94,0.34
5,14,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.23,0.51
5,15,26,"Low_Pain_Tolerance","communality",0.22,0.22,7.3,0.24
5,16,26,"Loud_Noise","communality",0.24,0.24,9.53,0.18
5,17,26,"Hate_Temp","communality",0.23,0.23,6.64,0.21
5,18,26,"Headache_Frequency","communality",0.25,0.25,7.75,0.2
5,19,26,"Mental_Emotional","max_loading",0.21,0.38,6.75,0.21
5,20,26,"Exciting_Look_Forward","max_loading",0.22,0.54,8.4,0.22
5,21,26,"Trust_Friends","max_loading",0.24,0.48,7.4,0.24
5,22,25,"Careless","max_loading",0.23,0.3,7.32,0.23
5,23,25,"Some_Wander_Aimlessly","max_loading",0.25,0.47,5.44,0.25
5,24,26,"Actively_Carry_Plans","max_loading",0.22,0.53,6.57,0.22
5,25,26,"Worthless_Freq","max_loading",0.23,0.82,8.32,0.23
5,26,26,"Worry_Frequency","max_loading",0.24,0.4,5.38,0.24
5,27,26,"Nothing_Cheer","max_loading",0.25,0.72,8.34,0.25
5,28,25,"Avoid_Distraction","max_loading",0.26,0.32,6.02,0.26
5,29,25,"Positive_About_Self","max_loading",0.26,0.78,10,0.26
5,30,25,"High_Standards","max_loading",0.26,0.45,8.01,0.26
5,31,25,"Dont_Fit_Community","max_loading",0.27,0.5,6.12,0.27
5,32,25,"People_Take_Advantage","max_loading",0.27,0.47,6.75,0.27
5,33,25,"Sense_Of_Direction","max_loading",0.28,0.61,5.68,0.28
5,34,25,"Expect_The_Best","max_loading",0.29,0.37,6.13,0.29
5,35,25,"Optimistic_About_Future","max_loading",0.27,0.48,5.77,0.27
5,36,24,"Choose_Goals","communality",0.19,0.19,5.89,0.28
5,37,24,"To_Reach_Goals","communality",0.16,0.16,5.59,0.17
5,38,24,"More_Sucessful","max_loading",0.29,0.41,4.17,0.29
5,39,24,"Everything_Effort","max_loading",0.29,0.58,5.25,0.29
5,40,24,"Upset_Think_Day","max_loading",0.29,0.53,5.6,0.29
5,41,24,"Social_Others_Lead","max_loading",0.3,0.32,5.32,0.3
5,42,24,"Minor_Setback_Irritate","max_loading",0.3,0.49,4.47,0.3
6,1,28,"Sympathy_Limits","communality",0.12,0.12,6.06,0.2
6,2,27,"Worry_Compare","communality",0.13,0.13,6.12,0.19
6,3,27,"More_Or_Less_Positive","communality",0.16,0.16,2.16,0.31
6,4,27,"Aware_Body","communality",0.19,0.19,3.27,0.33
6,5,27,"Should_Obey_Law","communality",0.19,0.19,7.11,0.21
6,6,27,"Alcohol_More_Than_Intended","communality",0.2,0.2,10.16,0.18
6,7,27,"Without_skill","communality",0.22,0.22,1.42,0.44
6,8,27,"When_Difficult","communality",0.17,0.17,2.42,0.34
6,9,27,"Approach_Health","communality",0.21,0.21,3.52,0.25
6,10,27,"Quick_Sense_Hunger","communality",0.24,0.24,1.26,0.5
6,11,27,"Bad_Happens_Prevented","communality",0.24,0.24,6.65,0.22
6,12,27,"Releived_No_Responsibility","communality",0.24,0.24,3.35,0.32
6,13,27,"Intercourse_Pain","communality",0.25,0.25,6.7,0.23
6,14,27,"Leaking_Urine","communality",0.24,0.24,2.86,0.33
6,15,27,"Headache_Frequency","communality",0.25,0.25,7.5,0.2
6,16,27,"Mental_Emotional","max_loading",0.21,0.38,7.2,0.21
6,17,27,"Exciting_Look_Forward","max_loading",0.23,0.55,8.41,0.23
6,18,26,"Low_Pain_Tolerance","communality",0.22,0.22,6.41,0.26
6,19,26,"Loud_Noise","communality",0.24,0.24,9.56,0.16
6,20,26,"Hate_Temp","communality",0.23,0.23,7.32,0.2
6,21,26,"Trust_Friends","max_loading",0.24,0.48,7.6,0.24
6,22,26,"High_Standards","max_loading",0.25,0.45,8.43,0.25
6,23,26,"Everything_Effort","max_loading",0.25,0.6,7.13,0.25
6,24,26,"Worthless_Freq","max_loading",0.25,0.81,8.13,0.25
6,25,26,"Worry_Frequency","max_loading",0.24,0.4,5.5,0.24
