"factor","Internalizing","Disinhibited_Externalizing","Antagonistic_Externalizing","Detachment","Warmth"
"alpha",0.782658089699191,0.890976916016445,0.612425481435131,0.894083039773998,0.597833941487008
"alpha.ord",0.839467209318862,0.92388540101847,0.722139747838497,0.902614477663846,0.65469976217461
"omega",0.766202451891071,0.909017218406022,0.176988764783578,0.916625195002377,0.626611178701441
"omega2",0.766202451891071,0.909017218406022,0.176988764783578,0.916625195002377,0.626611178701441
"omega3",0.510601453073111,0.905720361227471,0.0672230181448062,0.942889165381716,0.556328159247455
"avevar",0.550779641603094,0.461496075538295,0.491119961496699,0.414110306394254,0.522743116287941
