"","Anatagonistic","Detachment","Disinhibited_Externalizing","Internalizing","Somaticizing"
"Anatagonistic",1,0.670933513288884,-0.35705806778963,0.630663786797079,0.38143687202081
"Detachment",0.670933513288884,1,-0.600237109260508,0.611132637055188,0.304786300636017
"Disinhibited_Externalizing",-0.35705806778963,-0.600237109260508,1,-0.331779755446978,-0.114816616898112
"Internalizing",0.630663786797079,0.611132637055188,-0.331779755446978,1,0.464086339318562
"Somaticizing",0.38143687202081,0.304786300636017,-0.114816616898112,0.464086339318562,1
