"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper","std.lv","std.all"
"Internalizing","=~","Worry_Frequency",0.566583328726793,0.0121984900779437,46.4470049249163,166926.425867017,0,0.542674554148445,0.590492103305141,0.566583328726793,0.566583328726793
"Internalizing","=~","Nervous_Freq_30_Day",0.738436329224175,0.00712127291287487,103.69442910819,153140.379293495,0,0.724478780475591,0.752393877972759,0.738436329224175,0.738436329224175
"Internalizing","=~","Restless_Freq_30_Day",0.72853822451283,0.00744287302185224,97.8840055948618,93960.2411410539,0,0.713950273531383,0.743126175494277,0.72853822451283,0.72853822451283
"Internalizing","=~","Afraid_Freq_30_Day",0.768034361135759,0.00843503257082589,91.0529218099462,243975.529643216,0,0.751501919070938,0.784566803200581,0.768034361135759,0.768034361135759
"Internalizing","=~","Frustrated_Freq_30_Day",0.822693215960822,0.00500577833030095,164.348710964866,69473.8976375035,0,0.812881899787489,0.832504532134156,0.822693215960822,0.822693215960822
"Internalizing","=~","Upset_Freq_30_Day",0.827481756580774,0.00479678895927477,172.507434370405,41351.1082060228,0,0.81807994778431,0.836883565377238,0.827481756580774,0.827481756580774
"Internalizing","=~","Hopeless_Freq",0.896377100932288,0.00573669687079566,156.253175149546,21427.9149298048,0,0.885132746533871,0.907621455330705,0.896377100932288,0.896377100932288
"Internalizing","=~","Everything_Effort",0.747166742883829,0.00766607463495789,97.4640580039086,34317.085575601,0,0.732140982737793,0.762192503029865,0.747166742883829,0.747166742883829
"Internalizing","=~","Worthless_Freq",0.902753142360207,0.00616620154563648,146.40344394825,25743.7348650371,0,0.890667041170948,0.914839243549465,0.902753142360207,0.902753142360207
"Internalizing","=~","Irritable_Freq",0.760127595850944,0.00625641451633731,121.495721529645,197.688654823974,1.08613847582285e-187,0.747789717591254,0.772465474110634,0.760127595850944,0.760127595850944
"Internalizing","=~","Ashamed_Freq",0.782960008632896,0.00932182781252727,83.9921123173617,65106.0881365178,0,0.764689222184512,0.80123079508128,0.782960008632896,0.782960008632896
"Internalizing","=~","Lonely_Frequency",0.752749445853217,0.00789017165841891,95.4034308049589,47627.7651657599,0,0.737284600562833,0.7682142911436,0.752749445853217,0.752749445853217
"Internalizing","=~","Angry_Freq",0.804265972621126,0.00522964044823127,153.789917410697,19012.6817203012,0,0.794015413131215,0.814516532111038,0.804265972621126,0.804265972621126
"Anatagonistic","=~","People_Mean",0.639194116635432,0.0121428021044231,52.6397540813583,151842.607124728,0,0.615394472128149,0.662993761142716,0.639194116635432,0.639194116635432
"Anatagonistic","=~","Upset_Think_Day",0.748852101774712,0.00877881718351174,85.3021638474481,120816.848498005,0,0.73164576389204,0.766058439657384,0.748852101774712,0.748852101774712
"Anatagonistic","=~","Minor_Setback_Irritate",0.744345087817309,0.00834432976953923,89.2036998027718,89582.6753897994,0,0.727990281021737,0.760699894612881,0.744345087817309,0.744345087817309
"Anatagonistic","=~","Mood_Up_Down",0.802951869887251,0.00863579064969297,92.9795432125024,72994.4896619087,0,0.786025750573932,0.81987798920057,0.802951869887251,0.802951869887251
"Anatagonistic","=~","Angry_Ready_Hit",0.599439205122325,0.0130014412228043,46.1055966680768,39365.1828810408,0,0.573956065046597,0.624922345198052,0.599439205122325,0.599439205122325
"Anatagonistic","=~","Enjoy_Hurting_Say_Mean",0.592132315534936,0.0158949422932778,37.2528760790378,107696.864672056,8.06180607043698e-302,0.560978450977226,0.623286180092646,0.592132315534936,0.592132315534936
"Anatagonistic","=~","When_Insult_Get_Even",0.451209243614592,0.0128938253024718,34.9942110296852,111506.021855873,7.80133132896667e-267,0.425937536081977,0.476480951147207,0.451209243614592,0.451209243614592
"Anatagonistic","=~","Sometimes_Just_Hit_Someone",0.631218565233771,0.0147821718379635,42.7013413287945,21846.6840276754,0,0.602244435575344,0.660192694892198,0.631218565233771,0.631218565233771
"Anatagonistic","=~","More_Sucessful",0.543126134426171,0.0120531727385152,45.0608438299937,63878.8616560093,0,0.519501902331861,0.566750366520481,0.543126134426171,0.543126134426171
"Detachment","=~","Others_More_Life",0.777086915922949,0.00606837267057742,128.055239535743,167496.23003646,0,0.765193038096076,0.788980793749822,0.777086915922949,0.777086915922949
"Detachment","=~","Disapoint_Acheivment",0.716546007825184,0.00710729242473977,100.818422122461,73230.2055890578,0,0.702615740402686,0.730476275247682,0.716546007825184,0.716546007825184
"Detachment","=~","Gave_Up",0.699086090354231,0.00784827438278488,89.0751337501236,265711.016103767,0,0.68370368515338,0.714468495555082,0.699086090354231,0.699086090354231
"Detachment","=~","No_Good_Sense",0.788969108882981,0.0064627929945504,122.078660038819,142842.022466347,0,0.776302160041385,0.801636057724578,0.788969108882981,0.788969108882981
"Detachment","=~","Difficult_Arrange",0.7840725665013,0.00614894903552644,127.513264782519,71643.8712099025,0,0.772020644241569,0.796124488761032,0.7840725665013,0.7840725665013
"Detachment","=~","Maintaining_Relationships_Hard",0.676659875733442,0.00766811688529576,88.2432917827573,1092824.95006549,0,0.661630626163285,0.691689125303598,0.676659875733442,0.676659875733442
"Detachment","=~","Dont_Fit_Community",0.620335728718989,0.00860576105544269,72.0837732679854,74947.2819460588,0,0.603468474592313,0.637202982845664,0.620335728718989,0.620335728718989
"Detachment","=~","Few_Close_Friends",0.760885580785777,0.00656491499269273,115.901817713208,321017.452482393,0,0.748018535324607,0.773752626246947,0.760885580785777,0.760885580785777
"Detachment","=~","No_Warm_Relationship",0.712000622369315,0.00749388755680524,95.010849438586,76923.1063000013,0,0.697312641542358,0.726688603196273,0.712000622369315,0.712000622369315
"Detachment","=~","Activities_Trivial",0.66620015785037,0.00786903449832329,84.6609781660408,343273.358604657,0,0.650777079259552,0.681623236441187,0.66620015785037,0.66620015785037
"Detachment","=~","Self_Attitude",0.733824132725817,0.00680142311094428,107.892733734652,228499.930958646,0,0.720493517772453,0.74715474767918,0.733824132725817,0.733824132725817
"Disinhibited_Externalizing","=~","Actively_Carry_Plans",0.760846661350778,0.00918700452614581,82.8177083384951,125024.759102351,0,0.742840289034062,0.778853033667494,0.760846661350778,0.760846661350778
"Disinhibited_Externalizing","=~","Like_Difficult_Things",0.479853619129016,0.0116347876634895,41.243006147402,73567.2232660901,0,0.457049479155809,0.502657759102223,0.479853619129016,0.479853619129016
"Disinhibited_Externalizing","=~","Like_Hard_Work",0.499708994498188,0.0122372345981567,40.8351241851212,138579.110563612,0,0.475724245930117,0.523693743066259,0.499708994498188,0.499708994498188
"Disinhibited_Externalizing","=~","High_Standards",0.518395082766739,0.0126897300737698,40.851545285292,82710.3817881772,0,0.493523304880829,0.54326686065265,0.518395082766739,0.518395082766739
"Disinhibited_Externalizing","=~","Plan_Future",0.674291231486879,0.00979100843291715,68.868414944872,691655.588571062,0,0.655101174004337,0.69348128896942,0.674291231486879,0.674291231486879
"Disinhibited_Externalizing","=~","Will",0.605961188053346,0.0107327644876337,56.4590035262151,167423.716542899,0,0.584925204126554,0.626997171980138,0.605961188053346,0.605961188053346
"Disinhibited_Externalizing","=~","Change_For_Better",0.733319028666193,0.0095175817091484,77.0488818563353,241845.752410079,0,0.714664817937681,0.751973239394705,0.733319028666193,0.733319028666193
"Disinhibited_Externalizing","=~","Too_Much_Get_Done",0.561321396574183,0.0113385127460159,49.5057340541793,300852.480624487,0,0.539098230547355,0.583544562601012,0.561321396574183,0.561321396574183
"Disinhibited_Externalizing","=~","Dont_Give_Up",0.602234754882141,0.0101903307269121,59.0986466505619,104387.027317001,0,0.582261842081514,0.622207667682769,0.602234754882141,0.602234754882141
"Disinhibited_Externalizing","=~","Know_Want_Life",0.784597729091464,0.00856155915735052,91.6419211351064,180323.462726087,0,0.767817268857983,0.801378189324945,0.784597729091464,0.784597729091464
"Disinhibited_Externalizing","=~","Goal_Keep_Benefits",0.545953899872501,0.0109210230145316,49.9910950783685,637874.059331311,0,0.524549047474024,0.567358752270977,0.545953899872501,0.545953899872501
"Disinhibited_Externalizing","=~","Weigh_Possibilities",0.472987240210112,0.0138299103976527,34.2003112536716,97630.6993091492,7.77697159337297e-255,0.445880777872302,0.500093702547922,0.472987240210112,0.472987240210112
"Somaticizing","=~","Aware_Body",-0.0063647851367462,0.0217257402385315,-0.292960565065488,44671.4820312536,0.769553655127344,-0.0489476073141009,0.0362180370406085,-0.0063647851367462,-0.0063647851367462
