"factor","Internalizing","Anatagonistic","Detachment","Disinhibited_Externalizing","Somaticizing"
"alpha",0.911934466797437,0.791066023925171,0.895943599073164,0.818950010076113,0.549186814425786
"alpha.ord",0.947255086944051,0.864939274220973,0.92097669983752,0.873111271136224,0.591664073906796
"omega",0.919522768729152,0.814232351540947,0.904770953768491,0.84685063775295,0.52347146313664
"omega2",0.919524508768324,0.814233538127276,0.904771355443378,0.846851376677467,0.523472263440151
"omega3",0.949270745996432,0.81911469757887,0.913563527268564,0.863466078554072,0.475229697088403
"avevar",0.609963433079773,0.419455475458153,0.52310598994429,0.375196183438347,0.245569794693923
