"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Disinhibited_Externalizing","=~","Aware_Body",2081.91388807474,0.0661517060913775,0.0620471793211273,-0.274033765939313,-0.274033765939313,-0.274033765939313
"Detachment","=~","Aware_Body",1718.98127798353,0.0868553866799927,0.0799143913205501,0.268917220676648,0.268917220676648,0.268917220676648
"Detachment","=~","Actively_Carry_Plans",1659.84284831314,0.0286024713497845,0.0278071190245644,0.320474620165734,0.320474620165734,0.320474620165734
"Anatagonistic","=~","Actively_Carry_Plans",1192.52171536034,0.0243860407563154,0.0238055184140452,0.234277613715197,0.234277613715197,0.234277613715197
"Angry_Ready_Hit","~~","Sometimes_Just_Hit_Someone",1161.14166194084,0.153255754319386,0.132889650665418,-0.413179595471043,-0.413179595471043,-0.665569039754956
"Anatagonistic","=~","Aware_Body",1114.20547593604,0.10253084319636,0.0929958956060693,0.290248860659343,0.290248860659343,0.290248860659343
"Internalizing","=~","Actively_Carry_Plans",1062.67693084142,0.0385378936901011,0.0371078358567827,0.189525614071205,0.189525614071205,0.189525614071205
"Upset_Freq_30_Day","~~","Angry_Freq",810.1435798945,0.0510568862032577,0.0485767106171493,-0.1849958081326,-0.1849958081326,-0.554418491872843
"Somaticizing","=~","Actively_Carry_Plans",777.37811080032,0.0388833077957672,0.0374279839747038,0.244105496188639,0.244105496188639,0.244105496188639
"Will","~~","Change_For_Better",755.760310107481,0.0396913856916033,0.0381761224896565,-0.259483092055871,-0.259483092055871,-0.47977515637163
"Nervous_Freq_30_Day","~~","Restless_Freq_30_Day",638.194056945707,0.0701739214753727,0.0655724458120125,-0.206696280815719,-0.206696280815719,-0.447478705237156
"Internalizing","=~","Mood_Up_Down",618.800560241745,0.0398917221148086,0.0383614190462845,-0.285996662861855,-0.285996662861855,-0.285996662861855
"Internalizing","=~","Aware_Body",613.458153746976,0.0649410491554349,0.0609808864133252,0.226328270870509,0.226328270870509,0.226328270870509
"Frustrated_Freq_30_Day","~~","Angry_Freq",609.063324911691,0.0477280639939621,0.0455538661549464,-0.160952205164097,-0.160952205164097,-0.47642440791471
"Disinhibited_Externalizing","=~","Gave_Up",569.35052124113,0.0269327523769907,0.0262264031550759,0.219470612365839,0.219470612365839,0.219470612365839
"Detachment","=~","Worthless_Freq",542.669950827214,0.0841508491108807,0.0776191331491308,-0.220722270757191,-0.220722270757191,-0.220722270757191
"Detachment","=~","Dont_Give_Up",537.891259221678,0.045605681929818,0.0436165207572763,-0.192827096150168,-0.192827096150168,-0.192827096150168
"Internalizing","=~","Sometimes_Just_Hit_Someone",492.501811291706,0.0669878903294335,0.0627822404889252,0.327946401757138,0.327946401757138,0.327946401757138
"Like_Difficult_Things","~~","Like_Hard_Work",448.336894148347,0.0300830306574534,0.0292044716417208,-0.22930686723365,-0.22930686723365,-0.301738396575389
"Detachment","=~","Know_Want_Life",447.946835746754,0.0442340665787746,0.0423602983224812,0.178324864576138,0.178324864576138,0.178324864576138
"Disinhibited_Externalizing","=~","Worthless_Freq",423.065531338967,0.0909015113842654,0.0833269643828055,0.170407718685746,0.170407718685746,0.170407718685746
"Enjoy_Hurting_Say_Mean","~~","When_Insult_Get_Even",415.511660562861,0.0188084578795263,0.0184612306013564,-0.291038720865486,-0.291038720865486,-0.404701365695984
"Too_Much_Get_Done","~~","Dont_Give_Up",409.430391602215,0.0208649226224755,0.020438475414432,-0.214102287669729,-0.214102287669729,-0.324060619604018
"Detachment","=~","Upset_Freq_30_Day",395.650907948115,0.0742028292844612,0.0690771121259182,0.163482012235302,0.163482012235302,0.163482012235302
"Internalizing","=~","When_Insult_Get_Even",380.193172181141,0.0512168718789293,0.0487215086144737,0.230753596228187,0.230753596228187,0.230753596228187
"Anatagonistic","=~","Dont_Give_Up",374.679114294954,0.05059176231732,0.048155491154555,-0.135340265769418,-0.135340265769418,-0.135340265769418
"Maintaining_Relationships_Hard","~~","No_Warm_Relationship",370.871925263429,0.0113980162574512,0.0112695655659164,-0.158383713389811,-0.158383713389811,-0.306344649669321
"Internalizing","=~","Difficult_Arrange",370.31178399748,0.0387667447762932,0.0373199709860195,-0.15048326665249,-0.15048326665249,-0.15048326665249
"Anatagonistic","=~","Goal_Keep_Benefits",332.90755540618,0.0645246744605718,0.0606136015525131,-0.12575126825643,-0.12575126825643,-0.12575126825643
"Detachment","=~","Goal_Keep_Benefits",332.674861769057,0.0587186955134734,0.055462037047523,-0.148958620390417,-0.148958620390417,-0.148958620390417
"Internalizing","=~","Gave_Up",332.64580551667,0.047168147019096,0.0450435273010991,0.156977723978399,0.156977723978399,0.156977723978399
"Somaticizing","=~","Goal_Keep_Benefits",329.830582679801,0.0644528839695843,0.0605502459904332,-0.159291590221665,-0.159291590221665,-0.159291590221665
"Lonely_Frequency","~~","Few_Close_Friends",326.900802575836,0.0148783572647419,0.0146602370207612,-0.196960658466114,-0.196960658466114,-0.461089884206213
"Detachment","=~","Angry_Freq",323.061539974516,0.0552205470231757,0.0523308110128782,0.148274196162084,0.148274196162084,0.148274196162084
"Detachment","=~","Lonely_Frequency",320.052175198115,0.0872057396798949,0.0802108897121632,-0.157551685036,-0.157551685036,-0.157551685036
"Plan_Future","~~","Know_Want_Life",317.254210905982,0.0433311833192413,0.0415315711942856,-0.165209845061558,-0.165209845061558,-0.36083367068651
"Disinhibited_Externalizing","=~","Low_Pain_Tolerance",316.519876841473,0.0752481094674887,0.0699820895335077,0.126304093876773,0.126304093876773,0.126304093876773
"Internalizing","=~","Dont_Give_Up",306.292017269658,0.0637555895350062,0.0599344343401996,-0.104845977686474,-0.104845977686474,-0.104845977686474
"Internalizing","=~","Goal_Keep_Benefits",304.036456315968,0.0832844661782705,0.0768814367587957,-0.104041059422714,-0.104041059422714,-0.104041059422714
"No_Good_Sense","~~","Know_Want_Life",296.904940135914,0.0251878180553202,0.0245689790804372,0.164169310471205,0.164169310471205,0.430949278845727
"Frustrated_Freq_30_Day","~~","Upset_Freq_30_Day",292.431056752738,0.0225332046698811,0.0220366483620998,-0.115531360142552,-0.115531360142552,-0.361939365885441
"Anatagonistic","=~","Know_Want_Life",292.362354110989,0.0371997947173169,0.0358656016967835,0.122253116868969,0.122253116868969,0.122253116868969
"Detachment","=~","Low_Pain_Tolerance",278.45213756633,0.0734823374683567,0.0684523022909287,-0.129518774854563,-0.129518774854563,-0.129518774854563
