"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper","std.lv","std.all"
"Anatagonistic","=~","Enjoy_Hurting_Say_Mean",0.3703024225883,0.0109495346307173,33.819010129387,92004.4429953808,3.54215953150197e-249,0.348841446734756,0.391763398441844,0.592418559739525,0.592418559739525
"Anatagonistic","=~","When_Insult_Get_Even",0.281123804559453,0.0085515692941945,32.8739433533331,73179.3022953177,2.71386421227166e-235,0.264362759508725,0.29788484961018,0.449748500810561,0.449748500810561
"Anatagonistic","=~","Sometimes_Just_Hit_Someone",0.396394017098998,0.0101046135788052,39.2290129659632,13733.5599171891,3.90756519295842e-319,0.376587592831696,0.416200441366301,0.634160508747838,0.634160508747838
"Anatagonistic","=~","More_Sucessful",0.338446259950445,0.00890806343757873,37.9932476145946,136355.004347602,3.33070707951279e-314,0.320986621459117,0.355905898441773,0.54145431852059,0.54145431852059
"Detachment","=~","Others_More_Life",0.371813333581088,0.00931027651447624,39.935799221749,35297.8946685097,0,0.353564901188277,0.390061765973899,0.776752977237945,0.776752977237945
"Detachment","=~","Disapoint_Acheivment",0.343319384764159,0.00884576521493603,38.8117224934329,23537.06871509,1.85057228306297e-319,0.325981111928688,0.360657657599629,0.71722644180242,0.71722644180242
"Detachment","=~","Gave_Up",0.333942071363207,0.00873160683368945,38.2452024837796,31230.2942463848,8.36232436063925e-313,0.316827773158833,0.351056369567581,0.697636353322997,0.697636353322997
"Detachment","=~","No_Good_Sense",0.376974973896185,0.00947150219999813,39.8009698922161,37028.5691990726,0,0.358410563884216,0.395539383908153,0.787536128674628,0.787536128674628
"Detachment","=~","Difficult_Arrange",0.375416262706988,0.00953415157951721,39.3759486175485,30447.3935853559,0,0.356728926117264,0.394103599296713,0.784279834595012,0.784279834595012
"Detachment","=~","Maintaining_Relationships_Hard",0.324529435964205,0.00844443807186663,38.4311464187774,42337.0420894713,1.18995710800864e-317,0.307978168293221,0.341080703635189,0.677972473871951,0.677972473871951
"Detachment","=~","Dont_Fit_Community",0.297005536479013,0.00794174724027246,37.3980092155166,38130.8735682536,1.1730794355884e-300,0.281439503811091,0.312571569146936,0.620472462604448,0.620472462604448
"Detachment","=~","Few_Close_Friends",0.364818670280346,0.00910269703061212,40.0780855446985,38265.0473877491,0,0.346977147591871,0.38266019296882,0.762140468613523,0.762140468613523
"Detachment","=~","No_Warm_Relationship",0.340868598684969,0.0087133953587971,39.1200656746082,41828.4177236025,0,0.323790163410118,0.357947033959819,0.712106519487506,0.712106519487506
"Detachment","=~","Activities_Trivial",0.318397026721748,0.00832616262439372,38.2405486278779,44795.1157320554,7.17939629749919e-315,0.302077606897745,0.334716446545751,0.665161294964401,0.665161294964401
"Detachment","=~","Self_Attitude",0.351641177734419,0.00903492585553339,38.920206248185,43757.2836298699,0,0.333932558618934,0.369349796849904,0.734611448960044,0.734611448960044
"Somaticizing","=~","Backache_Frequency",0.4925564263124,0.0132116546476251,37.2819634973536,41818.6069474481,2.64249572483138e-299,0.466661309539451,0.518451543085349,0.591923020857255,0.591923020857255
"Somaticizing","=~","Swea_Frequency",0.474980797961909,0.0131184925026604,36.2069649287509,93618.6613187696,4.49354157778092e-285,0.449268692702005,0.500692903221813,0.570801747291556,0.570801747291556
"Somaticizing","=~","Hot_Flashes",0.418699636569236,0.0145446731744233,28.787146438293,26702.3961141813,1.71734402161458e-179,0.390191308757581,0.44720796438089,0.503166623092047,0.503166623092047
"Somaticizing","=~","Falling_Asleep",0.585147396635564,0.0147685850615371,39.621087206215,604693.57154769,0,0.556201443873637,0.614093349397491,0.70319296665435,0.70319296665435
"Somaticizing","=~","Extremities_Aches",0.459400858803777,0.0125938445835354,36.4782061392418,91111.4845366997,3.04351254340298e-289,0.434717049082731,0.484084668524823,0.552078766210391,0.552078766210391
"Disinhibited_Externalizing","=~","Actively_Carry_Plans",0.635705287709455,0.0100028076627688,63.5526853201022,414947.782506427,0,0.616100087759576,0.655310487659334,0.769291622832445,0.769291622832445
"Disinhibited_Externalizing","=~","Like_Difficult_Things",0.393102594484543,0.00990513558052762,39.6867454552907,58485.3658140554,0,0.373688483706502,0.412516705262583,0.475708695046868,0.475708695046868
"Disinhibited_Externalizing","=~","Like_Hard_Work",0.410526742707807,0.0106393583215685,38.5856675092493,117653.384878449,9.88131291682493e-324,0.389673769053011,0.431379716362603,0.496794332562084,0.496794332562084
"Disinhibited_Externalizing","=~","High_Standards",0.425513846554127,0.0108596961377215,39.1828501606127,84891.4903808056,0,0.404228929765429,0.446798763342826,0.514930808162337,0.514930808162337
"Disinhibited_Externalizing","=~","Plan_Future",0.556994511533982,0.00927722434720837,60.0389179659742,531704.740065763,0,0.538811444545296,0.575177578522668,0.674040659989887,0.674040659989887
