"lhs","op","rhs","mi","riv","fmi","epc","sepc.lv","sepc.all"
"Detachment","~~","Disinhibited_Externalizing",5738.47105091722,0.0932295872039583,0.0852790560145761,0.77944200467161,0.77944200467161,0.77944200467161
"Internalizing","~~","Somaticizing",3963.29422483947,0.0795070128690077,0.0736512240505986,-0.546765979017547,-0.546765979017547,-0.546765979017547
"Detachment","=~","Actively_Carry_Plans",2408.87381654248,0.0393129855799638,0.0378259351373601,0.157233797535659,0.328471136864533,0.328471136864533
"Internalizing","~~","Disinhibited_Externalizing",2061.17266561741,0.0705262773798207,0.0658800058158667,-0.281206548898726,-0.281206548898726,-0.281206548898726
"P_factor","=~","Actively_Carry_Plans",1897.61648535987,0.0301671004245358,0.0292836962198694,0.325815919886002,0.325815919886002,0.325815919886002
"Internalizing","~~","Detachment",1732.37779584585,0.0862890440878262,0.079434699776692,0.684848883130114,0.684848883130114,0.684848883130114
"Internalizing","~~","Anatagonistic",1598.93731009386,0.106054629510683,0.0958855256160369,-0.426962182188121,-0.426962182188121,-0.426962182188121
"Internalizing","=~","Falling_Asleep",1568.96982291152,0.0538955263844034,0.0511393444939487,-0.247434007193795,-0.361256806334546,-0.361256806334546
"Detachment","~~","Somaticizing",1331.13542267894,0.0691969314553059,0.0647186027377768,0.527181161278469,0.527181161278469,0.527181161278469
"Internalizing","=~","Mood_Up_Down",1231.79555296266,0.0485885325963853,0.0463370817875305,-0.228693301230536,-0.333894646578296,-0.333894646578296
"Anatagonistic","=~","Actively_Carry_Plans",1169.79412485634,0.0240562758816464,0.0234911659136462,0.163995504554887,0.262363668889276,0.262363668889276
"Disinhibited_Externalizing","=~","Gave_Up",1166.73872877121,0.0324264340873251,0.031407985127764,0.2214933607342,0.268037461317427,0.268037461317427
"Angry_Ready_Hit","~~","Sometimes_Just_Hit_Someone",1143.04393359699,0.156506726615237,0.135327121765463,-0.410843605160776,-0.410843605160776,-0.664542285174944
"Swea_Frequency","~~","Hot_Flashes",1066.45198070872,0.0477150769183604,0.0455420352055108,-0.391594753963974,-0.391594753963974,-0.551877148301647
"Disinhibited_Externalizing","=~","No_Good_Sense",900.220835575189,0.040545522191957,0.0389656399717583,0.190506934066223,0.230539901130798,0.230539901130798
"Upset_Freq_30_Day","~~","Angry_Freq",849.329504313646,0.0550589720345466,0.0521856820272068,-0.189104323985972,-0.189104323985972,-0.560924617225352
"Detachment","=~","Know_Want_Life",807.632031506757,0.0509622097705563,0.0484910011956398,0.0985540464735129,0.205886000580785,0.205886000580785
"Internalizing","=~","Actively_Carry_Plans",802.920305466298,0.038483982584729,0.0370578489703274,0.125418583732215,0.183113704984247,0.183113704984247
"Anatagonistic","~~","Disinhibited_Externalizing",783.983594933505,0.0892183588507229,0.0819104435081876,-0.233369407776356,-0.233369407776356,-0.233369407776356
"Will","~~","Change_For_Better",776.01539648884,0.045214403509393,0.0432584963980423,-0.263545963536244,-0.263545963536244,-0.484816028797107
"Somaticizing","=~","Actively_Carry_Plans",739.96598490289,0.0198729699112401,0.0194857305738475,0.211022885491515,0.253594642677273,0.253594642677273
"Frustrated_Freq_30_Day","~~","Angry_Freq",629.156870642953,0.0491920999212093,0.0468856941687833,-0.163221402009367,-0.163221402009367,-0.480367605584855
"Nervous_Freq_30_Day","~~","Restless_Freq_30_Day",619.940016103737,0.0694560991508822,0.0649452550750128,-0.203424733084165,-0.203424733084165,-0.442466990647396
"Internalizing","=~","Dont_Give_Up",613.450933679912,0.0612214110894683,0.0576895739661127,-0.113054197706348,-0.165060200273381,-0.165060200273381
"Internalizing","=~","Upset_Think_Day",597.703699218569,0.049248320420312,0.0469367636448385,-0.159874250608124,-0.233418124469198,-0.233418124469198
"No_Good_Sense","~~","Know_Want_Life",590.971124679959,0.0304359285833495,0.029536944257362,0.228756461894485,0.228756461894485,0.601222030326003
"Anatagonistic","=~","Dont_Give_Up",580.15964227108,0.0507987061463516,0.0483429469880567,-0.119885583473427,-0.191794493766872,-0.191794493766872
"P_factor","=~","Dont_Give_Up",570.585993202859,0.0461973805440227,0.0441574232579325,-0.187041303732938,-0.187041303732938,-0.187041303732938
"P_factor","=~","Sometimes_Just_Hit_Someone",561.405765061978,0.0699954895736152,0.0654166211499713,0.557126868611357,0.557126868611357,0.557126868611357
"P_factor","=~","Mood_Up_Down",546.546745037881,0.0608694127232796,0.0573769136834912,-0.468035229456008,-0.468035229456008,-0.468035229456008
"P_factor","=~","Know_Want_Life",500.232677409654,0.0471354819078734,0.0450137376894085,0.178495151562881,0.178495151562881,0.178495151562881
"Disinhibited_Externalizing","=~","Upset_Freq_30_Day",497.566159719735,0.0715615759550095,0.0667825140064691,-0.144851585320549,-0.175290662061584,-0.175290662061584
"Detachment","=~","Upset_Freq_30_Day",497.257439571747,0.0599017629987469,0.0565163349000088,0.0966201419455814,0.201849250127339,0.201849250127339
"Restless_Freq_30_Day","~~","Falling_Asleep",486.75514250178,0.0380689624478182,0.0366728645446153,-0.247398473796773,-0.247398473796773,-0.510985139852282
"Somaticizing","=~","Everything_Effort",480.642871414542,0.0528299046038548,0.0501789551881441,-0.200734402060085,-0.241229744933558,-0.241229744933558
"Somaticizing","=~","Dont_Give_Up",470.812551855497,0.0304323706774528,0.0295335934152042,-0.173657879329197,-0.208691449441173,-0.208691449441173
"Like_Difficult_Things","~~","Like_Hard_Work",463.150433891932,0.0290634750199737,0.0282426455952191,-0.232790792533644,-0.232790792533644,-0.304948118338163
"Internalizing","=~","Goal_Keep_Benefits",457.287827163235,0.0837124048274153,0.0772459597717226,-0.0974406061688412,-0.142264074000955,-0.142264074000955
"Detachment","=~","Hot_Flashes",449.148726710044,0.0367804388397697,0.0354756296144337,0.113179014965218,0.236437585661117,0.236437585661117
"Somaticizing","=~","Worthless_Freq",447.748536866815,0.0706722112097127,0.0660073274245745,-0.235004767658186,-0.282414707776295,-0.282414707776295
"Somaticizing","~~","Disinhibited_Externalizing",443.652592660525,0.0481346157786074,0.0459240779323471,-0.167868433128342,-0.167868433128342,-0.167868433128342
"Disinhibited_Externalizing","=~","Activities_Trivial",443.619211924354,0.0259434772810845,0.0252874333290162,0.137166144791756,0.165990048062242,0.165990048062242
"Internalizing","=~","Backache_Frequency",421.095092407117,0.0639906667955177,0.0601421316864011,-0.124758035125285,-0.182149206940396,-0.182149206940396
"Somaticizing","=~","Restless_Freq_30_Day",420.903652229941,0.0620329478929863,0.0584096265714319,-0.185126891845919,-0.222472589483234,-0.222472589483234
"Disinhibited_Externalizing","=~","Angry_Freq",418.255771981244,0.0531856239753781,0.0504997625913487,-0.132561559454757,-0.160417872480003,-0.160417872480003
"Detachment","=~","Sometimes_Just_Hit_Someone",418.065889329271,0.0696853942403184,0.0651456910747187,0.177687712603057,0.371209138772933,0.371209138772933
"Enjoy_Hurting_Say_Mean","~~","When_Insult_Get_Even",417.799723418115,0.0184686807356735,0.0181337738557978,-0.291750794066151,-0.291750794066151,-0.405462001675827
"Anatagonistic","=~","Like_Difficult_Things",417.163589737862,0.0691779690264286,0.0647020150344293,-0.101571635114177,-0.162495776682483,-0.162495776682483
"Too_Much_Get_Done","~~","Dont_Give_Up",416.149476882292,0.0210734624638266,0.0206385370284493,-0.215844870294777,-0.215844870294777,-0.325883026076312
"Detachment","=~","Dont_Give_Up",403.839979505772,0.0371802101072291,0.0358473963780944,-0.0693419131587235,-0.144859404491183,-0.144859404491183
"P_factor","=~","Upset_Freq_30_Day",401.793711189536,0.0717236846351903,0.0669236722706233,0.224375245867447,0.224375245867447,0.224375245867447
"P_factor","=~","Falling_Asleep",400.411433049488,0.0395889183018118,0.0380813200341545,-0.282163040925197,-0.282163040925197,-0.282163040925197
"Detachment","=~","Angry_Freq",398.707709896956,0.0524534957758166,0.0498392527426121,0.0873451863483688,0.182469302035845,0.182469302035845
