"factor","Internalizing","Anatagonistic","Detachment","Somaticizing","Disinhibited_Externalizing"
"alpha",0.911934466797437,0.791066023925171,0.895943599073164,0.65832298899982,0.818950010076113
"alpha.ord",0.947255086944051,0.864939274220973,0.92097669983752,0.715375572676801,0.873111271136224
"omega",0.919627877333337,0.814216619391084,0.904822513049875,0.666225762538393,0.847247023809776
"omega2",0.919629767755646,0.8142185081473,0.904819995248419,0.666227834040611,0.847248272756901
"omega3",0.949856576867298,0.81903849043914,0.913727972074982,0.673829608195776,0.863200724593152
"avevar",0.610102181091871,0.41972635341711,0.523129709444672,0.345729147289368,0.374627792263291
