"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper","std.lv","std.all"
"Internalizing","=~","Worry_Frequency",0.566649050200342,0.0122340417384662,46.3174037095761,155671.602354374,0,0.542670582572255,0.590627517828429,0.566649050200342,0.566649050200342
"Internalizing","=~","Nervous_Freq_30_Day",0.736075182720564,0.00716690762751175,102.704711847405,156031.748707422,0,0.72202819292525,0.750122172515877,0.736075182720564,0.736075182720564
"Internalizing","=~","Restless_Freq_30_Day",0.726337656919765,0.00750405813296963,96.792647931197,92142.6138731535,0,0.711629780041921,0.741045533797608,0.726337656919765,0.726337656919765
"Internalizing","=~","Afraid_Freq_30_Day",0.766579769538888,0.00846729342615236,90.5342157118595,253601.19655132,0,0.749984100170803,0.783175438906973,0.766579769538888,0.766579769538888
"Internalizing","=~","Frustrated_Freq_30_Day",0.824123193165375,0.00500433763221716,164.681772840385,69580.7697752772,0,0.814314701020063,0.833931685310686,0.824123193165375,0.824123193165375
"Internalizing","=~","Upset_Freq_30_Day",0.828384586368091,0.00478842099495536,172.997442631047,41840.0772705662,0,0.81899918217097,0.837769990565211,0.828384586368091,0.828384586368091
"Internalizing","=~","Hopeless_Freq",0.896693285340841,0.00572693490464276,156.574729811212,21259.6521940312,0,0.885468060106654,0.907918510575029,0.896693285340841,0.896693285340841
"Internalizing","=~","Everything_Effort",0.74552047828147,0.00769716869146036,96.8564556872177,33865.9516827797,0,0.730433765666461,0.760607190896479,0.74552047828147,0.74552047828147
"Internalizing","=~","Worthless_Freq",0.903295516107153,0.00615964090653543,146.647431208002,26117.2491105744,0,0.891222282257185,0.91536874995712,0.903295516107153,0.903295516107153
"Internalizing","=~","Irritable_Freq",0.760031274403319,0.0062815871037507,120.993510374076,200.63553347188,1.80472514425908e-189,0.747644875349812,0.772417673456826,0.760031274403319,0.760031274403319
"Internalizing","=~","Ashamed_Freq",0.784048443312983,0.0093121449952325,84.1963311046369,63170.4621061468,0,0.765796624793394,0.802300261832571,0.784048443312983,0.784048443312983
"Internalizing","=~","Lonely_Frequency",0.753245023368506,0.00790860804283576,95.243691340963,47979.7954589354,0,0.737744045400678,0.768746001336335,0.753245023368506,0.753245023368506
"Internalizing","=~","Angry_Freq",0.805162990555485,0.00523180636197418,153.897704702447,18555.029896746,0,0.794908169579587,0.815417811531383,0.805162990555485,0.805162990555485
"Anatagonistic","=~","People_Mean",0.639926391722664,0.0121642592513666,52.6070990842102,135110.842437392,0,0.616084668109877,0.66376811533545,0.639926391722664,0.639926391722664
"Anatagonistic","=~","Upset_Think_Day",0.7478248268729,0.00881910259312013,84.7960230620614,117611.134946693,0,0.730539525527225,0.765110128218575,0.7478248268729,0.7478248268729
"Anatagonistic","=~","Minor_Setback_Irritate",0.742047120940229,0.00838229510467835,88.5255304989293,92083.2904746938,0,0.725617908477839,0.758476333402618,0.742047120940229,0.742047120940229
"Anatagonistic","=~","Mood_Up_Down",0.80239397415379,0.00865484050959085,92.7104287207393,70759.5327651533,0,0.785430508297565,0.819357440010015,0.80239397415379,0.80239397415379
"Anatagonistic","=~","Angry_Ready_Hit",0.600576059043965,0.0129861920724426,46.2472798564576,46201.1887078595,0,0.575122923472442,0.626029194615487,0.600576059043965,0.600576059043965
"Anatagonistic","=~","Enjoy_Hurting_Say_Mean",0.594317159017924,0.015854571543013,37.4855389441183,105044.508498684,1.68120048545065e-305,0.563242411747748,0.6253919062881,0.594317159017924,0.594317159017924
"Anatagonistic","=~","When_Insult_Get_Even",0.454100375969911,0.012890728805466,35.2268970065804,117747.721583039,2.00252625623561e-270,0.428834752063724,0.479365999876098,0.454100375969911,0.454100375969911
"Anatagonistic","=~","Sometimes_Just_Hit_Someone",0.633851495012742,0.0147334783811023,43.0211711462341,22699.101472843,0,0.604972868149945,0.662730121875539,0.633851495012742,0.633851495012742
"Anatagonistic","=~","More_Sucessful",0.54347869160951,0.0120740340651106,45.0121880291822,60859.4774730592,0,0.519813549044924,0.567143834174095,0.54347869160951,0.54347869160951
"Detachment","=~","Others_More_Life",0.777226985196908,0.00606057461123114,128.243118029863,166488.277736199,0,0.765348390876269,0.789105579517547,0.777226985196908,0.777226985196908
"Detachment","=~","Disapoint_Acheivment",0.71507396679035,0.00709785927083442,100.745018956439,72007.5382550878,0,0.701162184411031,0.728985749169669,0.71507396679035,0.71507396679035
"Detachment","=~","Gave_Up",0.699485230775246,0.00783085027199277,89.3243015100126,268981.566434163,0,0.684136977209666,0.714833484340827,0.699485230775246,0.699485230775246
"Detachment","=~","No_Good_Sense",0.789870228720544,0.00643457354306636,122.754091383675,150204.589777388,0,0.777258594694373,0.802481862746715,0.789870228720544,0.789870228720544
"Detachment","=~","Difficult_Arrange",0.782847715352091,0.00614591772589198,127.376862214418,68952.3892177778,0,0.770801726506632,0.794893704197549,0.782847715352091,0.782847715352091
"Detachment","=~","Maintaining_Relationships_Hard",0.676905717130743,0.00765028958654859,88.4810580662121,1113321.15098963,0,0.661911408768507,0.691900025492979,0.676905717130743,0.676905717130743
"Detachment","=~","Dont_Fit_Community",0.621048931788688,0.00858302522091575,72.3578127529289,73295.9327880294,0,0.604226233677509,0.637871629899866,0.621048931788688,0.621048931788688
"Detachment","=~","Few_Close_Friends",0.761680944407275,0.00654852776769025,116.313310629196,312730.761451477,0,0.748846016155705,0.774515872658844,0.761680944407275,0.761680944407275
"Detachment","=~","No_Warm_Relationship",0.712129028176163,0.00748707080494165,95.1145042873296,75039.8322322396,0,0.697454402352561,0.726803653999765,0.712129028176163,0.712129028176163
"Detachment","=~","Activities_Trivial",0.667236636201912,0.00783905268717685,85.1169985492482,372582.634275105,0,0.651872325349935,0.68260094705389,0.667236636201912,0.667236636201912
"Detachment","=~","Self_Attitude",0.732682534359594,0.00680128133533276,107.72713232039,227097.211455248,0,0.719352196846648,0.74601287187254,0.732682534359594,0.732682534359594
"Disinhibited_Externalizing","=~","Actively_Carry_Plans",0.760297589688273,0.00916963543726384,82.914701995518,127722.209319402,0,0.742325264164428,0.778269915212118,0.760297589688273,0.760297589688273
"Disinhibited_Externalizing","=~","Like_Difficult_Things",0.477205091484687,0.0116331227465516,41.0212375371133,76694.8630399707,0,0.45440423004061,0.500005952928765,0.477205091484687,0.477205091484687
"Disinhibited_Externalizing","=~","Like_Hard_Work",0.49683449291571,0.0122336108942406,40.6122523603894,141915.316330366,0,0.472856851662091,0.520812134169329,0.49683449291571,0.49683449291571
"Disinhibited_Externalizing","=~","High_Standards",0.51783461411098,0.0126739530746021,40.8581766922185,82448.2291774045,0,0.492993757871888,0.542675470350071,0.51783461411098,0.51783461411098
"Disinhibited_Externalizing","=~","Plan_Future",0.674795797648729,0.00976276790309787,69.1193116897315,698933.902331395,0,0.655661091033091,0.693930504264366,0.674795797648729,0.674795797648729
"Disinhibited_Externalizing","=~","Will",0.606805039655121,0.0107056640308089,56.680747491127,167941.693973717,0,0.585822172499531,0.627787906810712,0.606805039655121,0.606805039655121
"Disinhibited_Externalizing","=~","Change_For_Better",0.734162519561457,0.00948430414646738,77.4081585980044,250401.936393879,0,0.715573535162624,0.752751503960291,0.734162519561457,0.734162519561457
"Disinhibited_Externalizing","=~","Too_Much_Get_Done",0.561351807007196,0.011314697244144,49.6126228474851,299537.670499464,0,0.539175318302476,0.583528295711915,0.561351807007196,0.561351807007196
"Disinhibited_Externalizing","=~","Dont_Give_Up",0.602496274816757,0.0101662595831801,59.264301672326,102911.54509203,0,0.582570537825429,0.622422011808086,0.602496274816757,0.602496274816757
"Disinhibited_Externalizing","=~","Know_Want_Life",0.784932987484542,0.00853488822907199,91.9675766591601,181453.125860739,0,0.768204802359833,0.80166117260925,0.784932987484542,0.784932987484542
"Disinhibited_Externalizing","=~","Goal_Keep_Benefits",0.547370967954956,0.0108848457169417,50.287434676543,647124.132877427,0,0.526037022470001,0.568704913439911,0.547370967954956,0.547370967954956
"Disinhibited_Externalizing","=~","Weigh_Possibilities",0.473980605796256,0.0137907997291934,34.3693342738419,100794.254000154,2.25898357317569e-257,0.446950810427994,0.501010401164518,0.473980605796256,0.473980605796256
"Worry_Frequency","|","t1",0.496969926007977,0.0155095941474052,32.0427421430059,69215.5279407694,1.21134586018266e-223,0.466571148484142,0.527368703531813,0.496969926007977,0.496969926007977
"Worry_Frequency","|","t2",0.851969487260185,0.0169558767414922,50.2462656605281,977223.708182547,0,0.818736538359067,0.885202436161304,0.851969487260185,0.851969487260185
"Worry_Frequency","|","t3",1.25626525506339,0.0199677138831977,62.9148265250584,349293.59940184,0,1.21712911938503,1.29540139074175,1.25626525506339,1.25626525506339
"Worry_Frequency","|","t4",1.50600075607464,0.0228856807153065,65.8053730107048,140695.56399189,0,1.46114526023169,1.55085625191759,1.50600075607464,1.50600075607464
"Nervous_Freq_30_Day","|","t1",-0.119682590827111,0.014863369200636,-8.05218448196721,159294.808237016,8.18839522444504e-16,-0.148814480501167,-0.0905507011530544,-0.119682590827111,-0.119682590827111
"Nervous_Freq_30_Day","|","t2",0.870999062717983,0.017060964483443,51.0521584851344,373992.749706532,0,0.837560078569269,0.904438046866696,0.870999062717983,0.870999062717983
"Nervous_Freq_30_Day","|","t3",1.75266631213397,0.0269362069562771,65.0673019768115,560750.28461663,0,1.69987220266486,1.80546042160308,1.75266631213397,1.75266631213397
"Nervous_Freq_30_Day","|","t4",2.38716334068168,0.046993344519493,50.7979026623967,531210.522728804,0,2.29505786804781,2.47926881331555,2.38716334068168,2.38716334068168
"Restless_Freq_30_Day","|","t1",-0.0392977127184489,0.0148288826779344,-2.65007914432586,183852.938113614,0.00804798036450652,-0.0683619800378342,-0.0102334453990637,-0.0392977127184489,-0.0392977127184489
"Restless_Freq_30_Day","|","t2",0.853638651898994,0.0169649828558331,50.3176843238299,89277.9988305922,0,0.820387445708204,0.886889858089785,0.853638651898994,0.853638651898994
"Restless_Freq_30_Day","|","t3",1.68905150230144,0.0257564807434733,65.5777285384549,99543.8671156815,0,1.638569113855,1.73953389074787,1.68905150230144,1.68905150230144
"Restless_Freq_30_Day","|","t4",2.31604963806193,0.043705765556031,52.9918560765797,43762.0312329528,0,2.23038554236978,2.40171373375407,2.31604963806193,2.31604963806193
"Afraid_Freq_30_Day","|","t1",0.690591084117467,0.0161838220116729,42.67169297953,146033.197112386,0,0.658871112938268,0.722311055296665,0.690591084117467,0.690591084117467
"Afraid_Freq_30_Day","|","t2",1.41912423424512,0.0217556142257789,65.2302536493569,110283.869094888,0,1.37648354591987,1.46176492257037,1.41912423424512,1.41912423424512
"Afraid_Freq_30_Day","|","t3",2.02603898873355,0.0333955930527984,60.6678547534817,162243.606809324,0,1.96058434080505,2.09149363666206,2.02603898873355,2.02603898873355
"Afraid_Freq_30_Day","|","t4",2.53565696283426,0.0551467845289623,45.9801416255297,336967.996076091,0,2.42757086305686,2.64374306261166,2.53565696283426,2.53565696283426
"Frustrated_Freq_30_Day","|","t1",-0.600453757178336,0.0158380487938378,-37.9121042619818,839230.040666332,3.00930794419175e-314,-0.631495807169493,-0.569411707187178,-0.600453757178336,-0.600453757178336
"Frustrated_Freq_30_Day","|","t2",0.533441950907495,0.0156173150729555,34.157084519045,704365.445497285,1.70198670914473e-255,0.502832523230782,0.564051378584207,0.533441950907495,0.533441950907495
"Frustrated_Freq_30_Day","|","t3",1.51576978345106,0.0230213328933509,65.8419645149586,358027.086591264,0,1.47064864756517,1.56089091933695,1.51576978345106,1.51576978345106
"Frustrated_Freq_30_Day","|","t4",2.13101483820795,0.0366294729555312,58.1776003382587,776874.085414061,0,2.05922227859009,2.20280739782581,2.13101483820795,2.13101483820795
"Upset_Freq_30_Day","|","t1",-0.37136309675418,0.0152022521452697,-24.4281632224956,267723.063238387,1.19842703121171e-131,-0.401159098149264,-0.341567095359097,-0.37136309675418,-0.37136309675418
"Upset_Freq_30_Day","|","t2",0.711257586154191,0.0162713770789707,43.7121936700386,174966.880768061,0,0.679366052485174,0.743149119823209,0.711257586154191,0.711257586154191
"Upset_Freq_30_Day","|","t3",1.74153123523276,0.0267222073511205,65.1716833250206,100898.624217085,0,1.68915604295236,1.79390642751316,1.74153123523276,1.74153123523276
"Upset_Freq_30_Day","|","t4",2.31155562517066,0.0435081495076289,53.1292562733642,754111.445862113,0,2.2262810822343,2.39683016810703,2.31155562517066,2.31155562517066
"Hopeless_Freq","|","t1",0.83565977937476,0.0168682878158959,49.5402846154471,180326.272328479,0,0.802598320863557,0.868721237885963,0.83565977937476,0.83565977937476
"Hopeless_Freq","|","t2",1.37813408278866,0.0212673254648303,64.800535688781,74827.6767504008,0,1.33645021657869,1.41981794899862,1.37813408278866,1.37813408278866
"Hopeless_Freq","|","t3",1.93843564466808,0.0310476706055274,62.4341732201637,110053.842911899,0,1.8775826592205,1.99928863011566,1.93843564466808,1.93843564466808
"Hopeless_Freq","|","t4",2.4476509647665,0.0500900517508282,48.8650116981768,66085.3415631752,0,2.34947446923183,2.54582746030117,2.4476509647665,2.4476509647665
"Everything_Effort","|","t1",0.163243924318785,0.0148967259394808,10.9583760204744,141729.402402691,6.21625921124382e-28,0.134046628645875,0.192441219991695,0.163243924318785,0.163243924318785
"Everything_Effort","|","t2",0.894615768919249,0.0171957835035329,52.0252984538591,163673.597066664,0,0.860912403330337,0.928319134508161,0.894615768919249,0.894615768919249
