"factor","Internalizing","Anatagonistic","Detachment","Disinhibited_Externalizing"
"alpha",0.911934466797437,0.791066023925171,0.895943599073164,0.818950010076113
"alpha.ord",0.947255086944051,0.864939274220973,0.92097669983752,0.873111271136224
"omega",0.919452003269231,0.814402868051871,0.904770433819804,0.84671606567574
"omega2",0.919453745372537,0.814404045510032,0.904770834501806,0.846716794763303
"omega3",0.948739007641691,0.820136455823124,0.913615261111133,0.862903855523358
"avevar",0.609797845815859,0.420052755173912,0.523150708604878,0.375153840315481
