"","Anatagonistic","Detachment","Disinhibited_Externalizing","Internalizing"
"Anatagonistic",1,0.670861154593736,-0.357064018382305,0.630502546875127
"Detachment",0.670861154593736,1,-0.600295401763987,0.611191695238857
"Disinhibited_Externalizing",-0.357064018382305,-0.600295401763987,1,-0.331850937852149
"Internalizing",0.630502546875127,0.611191695238857,-0.331850937852149,1
