"lhs","op","rhs","est","se","t","df","pvalue","ci.lower","ci.upper","std.lv","std.all"
"Internalizing","=~","Worry_Frequency",0.567637996218003,0.0121793325013189,46.6066589574208,128904.761491114,0,0.543766719017868,0.591509273418138,0.567637996218003,0.567637996218003
"Internalizing","=~","Nervous_Freq_30_Day",0.738603344741943,0.00708766799764992,104.209642012979,190487.374359709,0,0.724711682463981,0.752495007019905,0.738603344741943,0.738603344741943
"Internalizing","=~","Restless_Freq_30_Day",0.735200458068662,0.00732081319486975,100.426064495659,109079.985826055,0,0.720851768654409,0.749549147482914,0.735200458068662,0.735200458068662
"Internalizing","=~","Afraid_Freq_30_Day",0.765403820645764,0.00844794360941461,90.6023827849393,266992.646815994,0,0.748846080366258,0.781961560925271,0.765403820645764,0.765403820645764
"Internalizing","=~","Frustrated_Freq_30_Day",0.822547325882875,0.00497812118928774,165.232483221359,68017.0495296927,0,0.812790214013255,0.832304437752496,0.822547325882875,0.822547325882875
"Internalizing","=~","Upset_Freq_30_Day",0.825838242205967,0.00481239054083912,171.606654779512,45877.5664359454,0,0.816405881217268,0.835270603194665,0.825838242205967,0.825838242205967
"Internalizing","=~","Hopeless_Freq",0.896321683187291,0.00574891144394188,155.911548112612,17893.1798115178,0,0.885053261567596,0.907590104806986,0.896321683187291,0.896321683187291
"Internalizing","=~","Everything_Effort",0.75128401169899,0.0076334267162985,98.4202822167517,37813.8069162417,0,0.736322291353874,0.766245732044106,0.75128401169899,0.75128401169899
"Internalizing","=~","Worthless_Freq",0.903123799141465,0.0061922530302685,145.847366818973,26517.560446082,0,0.890986652232769,0.915260946050162,0.903123799141465,0.903123799141465
"Internalizing","=~","Irritable_Freq",0.760263301985216,0.00624543361573645,121.731067650707,202.304690071274,3.36551759502521e-191,0.747948808999158,0.772577794971274,0.760263301985216,0.760263301985216
"Internalizing","=~","Ashamed_Freq",0.780515228835525,0.00935265198048213,83.4538941964661,49338.7712915732,0,0.762183918095529,0.798846539575521,0.780515228835525,0.780515228835525
"Internalizing","=~","Lonely_Frequency",0.75200058184081,0.00786322970960571,95.6350773934745,45644.4586030704,0,0.736588526122942,0.767412637558677,0.75200058184081,0.75200058184081
"Internalizing","=~","Angry_Freq",0.801281192713762,0.00525880541506346,152.369431737967,18292.3371205235,0,0.790973441457513,0.81158894397001,0.801281192713762,0.801281192713762
"Anatagonistic","=~","People_Mean",0.639776517702577,0.0122370994748434,52.2817125919263,118051.102701824,0,0.6157919975461,0.663761037859054,0.639776517702577,0.639776517702577
