"","Anatagonistic","Detachment","Disinhibited_Externalizing","Internalizing","Somaticizing"
"Anatagonistic",1,0.670917331610981,-0.357128889444312,0.630664056323256,0.361752400935225
"Detachment",0.670917331610981,1,-0.600315591622895,0.611008301543108,0.373926908521099
"Disinhibited_Externalizing",-0.357128889444312,-0.600315591622895,1,-0.331759660173483,-0.214537478204606
"Internalizing",0.630664056323256,0.611008301543108,-0.331759660173483,1,0.591750769669953
"Somaticizing",0.361752400935225,0.373926908521099,-0.214537478204606,0.591750769669953,1
