"factor","Internalizing","Anatagonistic","Detachment","Somaticizing","Disinhibited_Externalizing"
"alpha",0.911934466797437,0.791066023925171,0.895943599073164,0.65832298899982,0.818950010076113
"alpha.ord",0.947255086944051,0.864939274220973,0.92097669983752,0.715375572676801,0.873111271136224
"omega",0.919671875455074,0.814159510683768,0.90477117130733,0.666807599085747,0.846837299237779
"omega2",0.91967361150314,0.814160705941589,0.904771578750212,0.66680868599744,0.846838032655617
"omega3",0.950193901473321,0.81862463461174,0.913587664253982,0.675589093184755,0.86322610037651
"avevar",0.610071747095521,0.419267662560772,0.523125277486578,0.346655787571264,0.375099928040644
