"Item","MR1","MR4","MR7","MR2","MR3","MR5","MR8","MR6","MR10","MR9"
"Upset_Freq_30_Day",0.835753788507405,-0.0660202933505281,-0.0140368678986427,-0.00364681658844479,0.0353885889363401,0.000482687289824591,-0.00583727866514638,-0.0356949558508651,0.000929540782354221,-0.0155592588608315
"Frustrated_Freq_30_Day",0.804819330237568,-0.0242135474506398,-0.0116885328468351,-0.000407628005032663,0.0290783989702387,-0.0176369391323598,-0.0396078261545567,0.00327827573218068,-0.00774814705350264,-0.0728871471829946
"Afraid_Freq_30_Day",0.781254422503397,0.030710666974696,-0.00420125518882896,-0.0018726744794973,-0.0489222581691904,0.0120467546262053,0.0691201434827075,-0.0313549889440289,0.0226079447191673,0.0477183834785861
"Irritable_Freq",0.771669167491153,-0.0768029536915767,-0.0423435822300531,-0.0414138650301563,0.0729695730422138,-0.0271565500622737,-0.0136920615593444,0.0378551217974694,-0.00183517334565428,-0.115036488265291
"Hopeless_Freq",0.757255215545873,0.145500663083237,0.0477179734425184,0.15001802151865,-0.0330181958918894,-0.0267204697068886,-0.0539634614557736,0.0359744479797271,-0.0140828448721994,0.0828071346651176
"Angry_Freq",-0.74555795733061,0.0799788374321521,-0.00200847519981849,-0.0297929811847999,-0.129771685196273,0.0374012854338003,0.0601484268357833,0.0383518481493779,0.0306807149831358,0.0319657251866227
"Ashamed_Freq",0.727926196076469,0.10830505196232,-0.0353670022026731,-0.0351491391158812,0.0162106986596835,-0.036551340600559,0.0177568781083425,-0.0506623732909033,-0.0478364340612086,0.0429224833858341
"Worthless_Freq",0.72230770490495,0.21282130284274,0.00503328459270477,0.0920540855323335,-0.0493790724831333,-0.018717503901177,-0.0274052595348995,0.0579279288457692,-0.0403267789399631,0.0801763338346893
"Nervous_Freq_30_Day",0.718957805641142,-0.0747633310508635,-0.00779485855083274,-0.0325182837706344,0.0236686357504558,0.0284925376093933,0.163336749073011,0.0596340675942426,0.0456974341614563,-0.0561181085805075
"Jittery_Freq_30_Day",0.706121890897144,-0.0777948223610303,-0.0274053927401458,-0.0752703083513037,0.0738485574151608,-0.0187954477805781,0.0769591150570957,0.141409512701182,-0.000428005273497764,0.0130505562529612
"Restless_Freq_30_Day",0.67925189559344,-0.0425362210441023,0.0239757922685621,-0.0458718662729173,0.0666305974434435,0.012119659563364,0.0637052357782408,0.156383501892555,-0.0252451931405418,-0.00654883048019809
"Lonely_Frequency",0.677471669239552,0.262855317320819,0.0733662193196901,0.0320853711241422,-0.122798331313984,-0.00199664596363728,-0.0242495972578835,0.0108645076340985,-0.020036029742547,0.0790568718775107
"Everything_Effort",0.635614431206883,0.0594771652327773,-0.0389982013248894,0.00589536593490271,0.0440217299470697,-0.0089450401497328,-0.047442443014159,0.151025251203314,0.0447474055983017,0.0547130345241489
"Worry_Frequency",0.48519119551565,-0.0183303866162722,0.0759208851955493,0.175337115452887,-0.000543981582208901,0.0242943741485367,0.0683832993284859,0.023112655619607,0.0619945630943879,-0.0989002643190277
"Felt_Belong_Freq",-0.367456127092757,-0.255311028952362,-0.019900529370246,-0.13055123454261,0.0411419966178274,0.199981765637421,-0.000324564285074738,-0.0057772171871449,0.0425056529865962,0.0690675604876204
"No_Good_Sense",0.0933667258240904,0.600534911323452,-0.0650705774289574,0.0359416440618705,0.0406105936499313,-0.0409501964208307,0.137648450255557,0.0487326699764095,-0.0248412089283947,-0.00749867847213134
"Others_More_Life",0.122995331339668,0.519500149296828,0.00092525393598602,0.162469831378617,0.0593251889490321,0.00745306858002021,0.133701412399187,0.0268010662562812,0.0551538057963663,0.0196294110513535
"Few_Close_Friends",0.152823641590988,0.513959208641746,0.122722442667341,0.0521981540167855,0.0312742120731311,-0.221647825058625,0.179808398256289,0.0203313743497299,0.0288847594314191,0.0208743388484185
"Activities_Trivial",0.0517906897174165,0.481612876253213,-0.0811074700766874,0.0275253477999166,0.106905371541429,-0.0303732202222224,0.1040509147641,0.0645037691063162,0.00293972492538473,0.0117009675621566
"Disapoint_Acheivment",0.170968174869472,0.431393242339567,-0.0152930656189032,0.169680878355329,0.0387581041826521,-0.0166867356671555,0.0467502337230732,0.0434134996656426,0.0554803846067517,0.107051250169377
"Difficult_Arrange",0.245013734188384,0.422704052844588,-0.0293460115807538,0.0893953856315407,0.0549066224619344,0.0302128740385713,0.210919993375247,0.0222829245237107,0.0339880868020056,0.00568025600451294
"Gave_Up",-0.0346780626605103,0.40546117385976,-0.147671907987283,0.118457548834172,0.0838980669628304,-0.0708765215037779,0.136344138958916,0.115161584212737,-0.00887249933375834,0.139287542127671
"Sense_Of_Direction",-0.0761190607504257,-0.388562147498035,0.143656349353099,-0.182283184553577,0.0735617963238672,0.0628623055536308,-0.0412772440981107,-0.0840427963435542,0.149858229872971,0.162461558209646
"No_Warm_Relationship",0.0386867791225898,0.375651415476981,0.158550296544004,0.174446952761725,0.105096636983012,-0.342850431658508,0.143786364715239,0.0412145779968985,-0.00870726954548526,0.0960337749532853
"Dont_Fit_Community",0.034412751242519,0.358098687532961,0.115937277771978,0.0606797668332636,0.115770730985465,-0.321948777184049,0.154759527128482,0.0421594131865385,-0.0193704647808529,0.0359162321043047
