"","MR1","MR5","MR3","MR2","MR4"
"MR1",1,0.53367694467406,-0.310021062121275,-0.109709466396361,-0.199257450331295
"MR5",0.53367694467406,1,-0.112600676958002,-0.00234453074740718,-0.0173457840156077
"MR3",-0.310021062121275,-0.112600676958002,1,0.104934596762155,0.276045558586866
"MR2",-0.109709466396361,-0.00234453074740718,0.104934596762155,1,0.206859577946666
"MR4",-0.199257450331295,-0.0173457840156077,0.276045558586866,0.206859577946666,1
