"Item","MR1","MR4","MR7","MR2","MR3","MR5","MR8","MR6","MR10","MR9"
"More_Sucessful",-0.02,-0.09,-0.15,-0.26,-0.39,-0.05,-0.15,0,-0.04,-0.12
"Mood_Up_Down",0.35,0.05,-0.02,0.11,0.37,-0.03,0.05,0.02,0.08,-0.05
"Upset_Think_Day",0.29,0,-0.04,0.1,0.37,0.02,0.18,0.03,0.21,-0.08
"Like_Time_Alone",-0.09,0.12,0.07,0.07,0.15,0.71,0.02,0.01,-0.06,-0.06
"Seek_Friends",-0.01,0.05,0.03,0.01,0.1,0.64,0.06,0,0.01,-0.04
"Prefer_No_Others",0.06,0.06,0,-0.05,0.19,-0.61,0.03,0.05,0.11,0.05
"I_Am_Warm_Person",0.08,-0.06,0.05,-0.01,-0.18,0.53,0.03,0.02,0.11,0.24
"Most_See_Love",0.12,-0.13,-0.01,-0.07,-0.16,0.4,0,-0.02,0.11,0.3
"Enjoy_Convo",-0.03,-0.14,-0.07,-0.17,-0.05,0.4,-0.12,-0.01,0.23,0.15
"Others_Describe_Giving",0.09,-0.13,0.12,-0.02,-0.16,0.39,-0.04,0,0.13,0.3
"Difficult_Voice_Opinion",-0.05,0.05,-0.03,-0.04,-0.04,0,0.82,0.02,0.01,0.05
"Overwhelmed_Responsibility",0.13,0.11,0.01,0.04,0.04,0.02,0.59,0,0.06,0.04
"Not_Afraid_Opinion",0.03,0.06,0.12,0,0.14,0.04,-0.57,0.02,0.05,0.13
"Influenced_By_People",0.02,0.12,-0.03,-0.12,0.15,0.11,0.49,-0.03,-0.01,0
"Confidence_If_Contrary",0.01,0.03,0.07,-0.18,0.06,-0.04,-0.45,-0.05,0.2,0.13
"Social_Others_Lead",-0.08,0.07,-0.18,-0.06,0,-0.1,0.36,0.04,0.25,-0.01
"Aches_Joints_Stiffness_Frequency",-0.06,0,0.01,-0.04,-0.01,0,-0.02,0.89,0,-0.04
"Extremities_Aches",-0.01,0,-0.01,-0.01,-0.01,0,-0.02,0.76,0.02,0.03
"Backache_Frequency",0.11,0.01,0.03,0.05,-0.01,0.01,-0.02,0.53,-0.02,-0.03
"Falling_Asleep",0.26,0.01,0.01,0,-0.03,0.03,0.03,0.41,-0.01,-0.02
"Swea_Frequency",0.18,-0.14,0.08,0.12,0.05,0.01,0.01,0.39,-0.07,0.05
"Hot_Flashes",0.21,-0.19,0.01,0.05,-0.07,0.03,0.09,0.37,-0.03,0.13
"Like_Think_Over",-0.08,0.1,0.16,0.05,-0.09,-0.03,-0.04,0.02,0.64,-0.07
"Cautious_Person",0,-0.03,0.02,0.12,0,-0.03,0.11,0,0.61,0.04
"Weigh_Possibilities",-0.03,0.1,0.2,0.01,-0.13,0.1,-0.15,0,0.52,-0.07
"Fun_Earthquake",-0.01,0.27,0.19,-0.11,0.26,0.04,-0.06,-0.08,-0.28,-0.2
"Good_Manage_Responsibility",-0.16,-0.17,0.18,-0.05,-0.03,0.01,-0.17,-0.02,0.23,0.2
"Live_Day_By_Day",-0.11,0.13,-0.09,0.03,0.09,0,0.01,0.06,-0.16,0.5
"No_Sense_Planning",0,0.06,-0.06,0.18,0.07,0,0.03,0.04,0.03,0.45
"Too_Many_Things",0.13,0.04,0.02,0.16,0.15,0.03,0.13,-0.01,-0.02,0.38
