"imputation","iteration","suggested_factors","item_removed","removal_reason","removal_value","communality","complexity","highest_loading"
3,12,19,"To_Reach_Goals","communality",0.16,0.16,5.37,0.18
3,13,20,"Approach_Health","communality",0.17,0.17,9.4,0.15
3,14,20,"Intercourse_Pain","communality",0.22,0.22,2.04,0.35
3,15,21,"Leaking_Urine","communality",0.24,0.24,3.04,0.32
3,16,21,"Loud_Noise","communality",0.24,0.24,9.67,0.19
3,17,23,"Hate_Temp","communality",0.23,0.23,6.3,0.22
3,18,15,"Releived_No_Responsibility","communality",0.21,0.21,5.26,0.23
3,19,15,"Bad_Happens_Prevented","communality",0.22,0.22,5.1,0.26
3,20,15,"Headache_Frequency","communality",0.23,0.23,4.44,0.24
3,21,15,"Asking_Help_Naturally","communality",0.24,0.24,4.09,0.33
3,22,22,"Dont_Like_Help","communality",0.24,0.24,6.89,0.24
3,23,22,"Careless","max_loading",0.21,0.3,8.77,0.21
3,24,22,"Mental_Emotional","max_loading",0.23,0.38,6.23,0.23
3,25,22,"Exciting_Look_Forward","max_loading",0.25,0.53,7.22,0.25
3,26,22,"Trust_Friends","max_loading",0.27,0.47,5.99,0.27
3,27,22,"Some_Wander_Aimlessly","max_loading",0.27,0.47,4.43,0.27
3,28,22,"Enjoy_Convo","max_loading",0.28,0.57,5.78,0.28
3,29,22,"Avoid_Distraction","max_loading",0.27,0.31,5.4,0.27
3,30,22,"Nothing_Cheer","max_loading",0.28,0.7,5.92,0.28
3,31,22,"Positive_About_Self","max_loading",0.29,0.76,8.01,0.29
3,32,22,"People_Take_Advantage","max_loading",0.29,0.45,5.38,0.29
3,33,22,"High_Standards","max_loading",0.3,0.44,5.76,0.3
3,34,22,"Social_Others_Lead","max_loading",0.3,0.32,5.13,0.3
3,35,16,"Lower_Expectations","communality",0.24,0.24,4.7,0.3
3,36,20,"Most_See_Love","max_loading",0.24,0.5,9.1,0.24
3,37,20,"Others_Describe_Giving","max_loading",0.27,0.51,7.37,0.27
3,38,20,"Dissapointment_Low_Goal","max_loading",0.27,0.33,4.2,0.27
3,39,20,"More_Sucessful","max_loading",0.3,0.4,4.12,0.3
4,1,21,"Sympathy_Limits","communality",0.11,0.11,4.48,0.2
4,2,21,"Worry_Compare","communality",0.12,0.12,6.5,0.19
4,3,20,"More_Or_Less_Positive","communality",0.15,0.15,2.04,0.31
4,4,20,"Aware_Body","communality",0.15,0.15,5.43,0.23
4,5,21,"Quick_Sense_Hunger","communality",0.18,0.18,2.26,0.34
4,6,21,"Alcohol_More_Than_Intended","communality",0.18,0.18,11.65,0.15
4,7,21,"Should_Obey_Law","communality",0.18,0.18,4.5,0.23
4,8,21,"Low_Pain_Tolerance","communality",0.21,0.21,7.99,0.22
4,9,21,"Without_skill","communality",0.21,0.21,1.35,0.43
4,10,21,"When_Difficult","communality",0.15,0.15,3.41,0.29
4,11,17,"Choose_Goals","communality",0.13,0.13,7.12,0.21
4,12,17,"To_Reach_Goals","communality",0.16,0.16,6.5,0.18
4,13,20,"Approach_Health","communality",0.17,0.17,8.97,0.15
4,14,20,"Intercourse_Pain","communality",0.22,0.22,1.99,0.35
4,15,21,"Leaking_Urine","communality",0.23,0.23,3.18,0.32
4,16,21,"Loud_Noise","communality",0.23,0.23,9.96,0.19
4,17,20,"Hate_Temp","communality",0.23,0.23,6.55,0.22
4,18,20,"Releived_No_Responsibility","communality",0.24,0.24,4.06,0.3
4,19,15,"Bad_Happens_Prevented","communality",0.23,0.23,5.08,0.26
4,20,15,"Headache_Frequency","communality",0.23,0.23,4.29,0.25
4,21,15,"Asking_Help_Naturally","communality",0.24,0.24,4.15,0.32
4,22,22,"Dont_Like_Help","communality",0.24,0.24,6.9,0.24
4,23,23,"Careless","max_loading",0.22,0.29,7.41,0.22
4,24,22,"Mental_Emotional","max_loading",0.23,0.38,6.15,0.23
4,25,22,"Exciting_Look_Forward","max_loading",0.25,0.53,6.95,0.25
4,26,22,"Avoid_Distraction","max_loading",0.27,0.31,4.99,0.27
4,27,22,"Trust_Friends","max_loading",0.27,0.47,6.21,0.27
4,28,22,"Some_Wander_Aimlessly","max_loading",0.26,0.47,4.52,0.26
4,29,22,"Positive_About_Self","max_loading",0.29,0.76,7.9,0.29
4,30,22,"People_Take_Advantage","max_loading",0.3,0.45,5.44,0.3
4,31,16,"Fun_Tight_Rope","communality",0.25,0.25,6.26,0.26
4,32,16,"Fun_Earthquake","communality",0.24,0.24,4.5,0.29
4,33,16,"Lower_Expectations","communality",0.25,0.25,4.51,0.31
4,34,19,"Most_See_Love","max_loading",0.25,0.49,8.79,0.25
4,35,19,"Dissapointment_Low_Goal","max_loading",0.28,0.34,4.17,0.28
4,36,19,"Others_Describe_Giving","max_loading",0.28,0.53,6.58,0.28
4,37,19,"More_Sucessful","max_loading",0.29,0.39,3.95,0.29
4,38,19,"Nothing_Cheer","max_loading",0.29,0.7,5.3,0.29
5,1,21,"Sympathy_Limits","communality",0.11,0.11,4.62,0.2
5,2,21,"Worry_Compare","communality",0.13,0.13,6.77,0.18
5,3,20,"More_Or_Less_Positive","communality",0.15,0.15,1.95,0.31
5,4,20,"Aware_Body","communality",0.15,0.15,5.62,0.22
5,5,21,"Quick_Sense_Hunger","communality",0.18,0.18,2.19,0.34
5,6,21,"Alcohol_More_Than_Intended","communality",0.19,0.19,9.73,0.17
5,7,21,"Should_Obey_Law","communality",0.19,0.19,4.51,0.23
5,8,21,"Low_Pain_Tolerance","communality",0.21,0.21,8.14,0.21
5,9,21,"Without_skill","communality",0.21,0.21,1.36,0.43
5,10,22,"When_Difficult","communality",0.15,0.15,3.95,0.27
5,11,22,"Approach_Health","communality",0.2,0.2,6.67,0.18
5,12,17,"Choose_Goals","communality",0.12,0.12,6.44,0.22
5,13,20,"To_Reach_Goals","communality",0.15,0.15,5.8,0.16
5,14,20,"Intercourse_Pain","communality",0.23,0.23,2.02,0.35
5,15,21,"Leaking_Urine","communality",0.23,0.23,3.01,0.32
5,16,21,"Loud_Noise","communality",0.23,0.23,10.26,0.19
5,17,20,"Hate_Temp","communality",0.23,0.23,6.54,0.23
5,18,15,"Releived_No_Responsibility","communality",0.21,0.21,5.28,0.23
5,19,15,"Bad_Happens_Prevented","communality",0.22,0.22,5.21,0.26
5,20,15,"Headache_Frequency","communality",0.23,0.23,4.19,0.25
5,21,15,"Lower_Expectations","communality",0.24,0.24,4.57,0.29
5,22,15,"Asking_Help_Naturally","communality",0.23,0.23,4.19,0.33
5,23,21,"Dont_Like_Help","communality",0.25,0.25,6.16,0.26
5,24,21,"Careless","max_loading",0.21,0.29,8.12,0.21
5,25,21,"Mental_Emotional","max_loading",0.22,0.38,6.42,0.22
5,26,21,"Exciting_Look_Forward","max_loading",0.25,0.53,6.6,0.25
5,27,21,"Dissapointment_Low_Goal","max_loading",0.28,0.34,4.05,0.28
5,28,21,"Trust_Friends","max_loading",0.28,0.47,5.78,0.28
5,29,21,"Some_Wander_Aimlessly","max_loading",0.27,0.47,4.2,0.27
5,30,21,"Avoid_Distraction","max_loading",0.28,0.31,4.75,0.28
6,1,20,"Sympathy_Limits","communality",0.11,0.11,5.03,0.2
6,2,21,"Worry_Compare","communality",0.12,0.12,6.5,0.19
6,3,20,"More_Or_Less_Positive","communality",0.15,0.15,2.02,0.31
6,4,20,"Aware_Body","communality",0.15,0.15,5.38,0.23
6,5,21,"Quick_Sense_Hunger","communality",0.19,0.19,2.11,0.35
6,6,21,"Should_Obey_Law","communality",0.19,0.19,3.85,0.25
6,7,21,"Alcohol_More_Than_Intended","communality",0.19,0.19,10.57,0.15
6,8,21,"Low_Pain_Tolerance","communality",0.21,0.21,7.96,0.22
6,9,21,"Without_skill","communality",0.21,0.21,1.36,0.42
6,10,21,"When_Difficult","communality",0.15,0.15,3.49,0.29
6,11,17,"Choose_Goals","communality",0.13,0.13,6.82,0.21
6,12,17,"To_Reach_Goals","communality",0.16,0.16,6.22,0.18
6,13,20,"Approach_Health","communality",0.17,0.17,9.4,0.15
6,14,20,"Intercourse_Pain","communality",0.23,0.23,2.13,0.34
6,15,21,"Leaking_Urine","communality",0.24,0.24,3.18,0.32
6,16,21,"Loud_Noise","communality",0.24,0.24,9.78,0.18
6,17,20,"Hate_Temp","communality",0.23,0.23,6.92,0.22
6,18,15,"Releived_No_Responsibility","communality",0.2,0.2,5.38,0.23
6,19,15,"Bad_Happens_Prevented","communality",0.22,0.22,4.88,0.27
6,20,15,"Headache_Frequency","communality",0.23,0.23,4.23,0.24
6,21,15,"Asking_Help_Naturally","communality",0.23,0.23,4.1,0.33
6,22,22,"Dont_Like_Help","communality",0.24,0.24,6.83,0.24
6,23,23,"Mental_Emotional","max_loading",0.22,0.38,6.53,0.22
6,24,22,"Careless","max_loading",0.21,0.3,8.84,0.21
6,25,22,"Exciting_Look_Forward","max_loading",0.25,0.53,6.97,0.25
6,26,22,"Avoid_Distraction","max_loading",0.28,0.31,4.92,0.28
6,27,22,"Some_Wander_Aimlessly","max_loading",0.27,0.47,4.36,0.27
6,28,22,"Trust_Friends","max_loading",0.25,0.46,6.62,0.25
6,29,22,"Nothing_Cheer","max_loading",0.29,0.7,5.56,0.29
7,1,20,"Sympathy_Limits","communality",0.11,0.11,3.87,0.22
7,2,20,"Worry_Compare","communality",0.12,0.12,6.7,0.17
7,3,20,"More_Or_Less_Positive","communality",0.15,0.15,2,0.31
7,4,20,"Aware_Body","communality",0.15,0.15,5.16,0.23
7,5,21,"Quick_Sense_Hunger","communality",0.18,0.18,2.17,0.34
7,6,21,"Alcohol_More_Than_Intended","communality",0.19,0.19,10.28,0.16
7,7,21,"Should_Obey_Law","communality",0.18,0.18,4.42,0.24
7,8,21,"Low_Pain_Tolerance","communality",0.21,0.21,7.91,0.21
7,9,21,"Without_skill","communality",0.21,0.21,1.37,0.43
7,10,21,"When_Difficult","communality",0.15,0.15,3.33,0.29
7,11,17,"Choose_Goals","communality",0.14,0.14,6.99,0.21
7,12,19,"To_Reach_Goals","communality",0.16,0.16,5.34,0.18
7,13,20,"Approach_Health","communality",0.17,0.17,8.87,0.15
7,14,20,"Intercourse_Pain","communality",0.23,0.23,2.09,0.35
7,15,20,"Loud_Noise","communality",0.23,0.23,6.62,0.22
7,16,20,"Hate_Temp","communality",0.23,0.23,6.08,0.24
7,17,20,"Leaking_Urine","communality",0.23,0.23,2.87,0.33
7,18,15,"Releived_No_Responsibility","communality",0.2,0.2,5.23,0.23
7,19,15,"Bad_Happens_Prevented","communality",0.22,0.22,5.04,0.26
7,20,15,"Headache_Frequency","communality",0.23,0.23,3.97,0.25
7,21,15,"Asking_Help_Naturally","communality",0.24,0.24,4.07,0.33
7,22,22,"Dont_Like_Help","communality",0.24,0.24,6.67,0.24
7,23,23,"Some_Wander_Aimlessly","max_loading",0.22,0.47,6.64,0.22
7,24,23,"Trust_Friends","max_loading",0.22,0.46,7.68,0.22
7,25,23,"Mental_Emotional","max_loading",0.22,0.38,6.46,0.22
7,26,23,"Careless","max_loading",0.24,0.3,6.87,0.24
7,27,23,"Positive_About_Self","max_loading",0.23,0.78,10.08,0.23
7,28,22,"Avoid_Distraction","max_loading",0.26,0.31,5.6,0.26
7,29,22,"Exciting_Look_Forward","max_loading",0.27,0.54,6.49,0.27
7,30,22,"People_Take_Advantage","max_loading",0.29,0.45,5.44,0.29
7,31,16,"Fun_Tight_Rope","communality",0.24,0.24,6.35,0.25
7,32,16,"Fun_Earthquake","communality",0.24,0.24,4.51,0.29
7,33,16,"If_No_Goal_Think_Others","communality",0.24,0.24,3.71,0.27
7,34,16,"Lower_Expectations","communality",0.24,0.24,4.63,0.3
7,35,18,"Dissapointment_Low_Goal","max_loading",0.26,0.34,4.96,0.26
7,36,18,"Most_See_Love","max_loading",0.28,0.5,8.81,0.28
7,37,18,"Others_Describe_Giving","max_loading",0.25,0.53,7.73,0.25
7,38,19,"Nothing_Cheer","max_loading",0.28,0.7,5.89,0.28
7,39,19,"More_Sucessful","max_loading",0.29,0.39,4.07,0.29
8,1,20,"Sympathy_Limits","communality",0.11,0.11,4.56,0.21
8,2,20,"Worry_Compare","communality",0.12,0.12,6.92,0.18
8,3,20,"More_Or_Less_Positive","communality",0.15,0.15,1.97,0.31
8,4,20,"Aware_Body","communality",0.15,0.15,5.37,0.23
8,5,21,"Alcohol_More_Than_Intended","communality",0.18,0.18,9.31,0.16
8,6,21,"Should_Obey_Law","communality",0.18,0.18,4.01,0.24
8,7,21,"Quick_Sense_Hunger","communality",0.18,0.18,2.15,0.34
8,8,21,"Without_skill","communality",0.21,0.21,1.35,0.43
8,9,22,"When_Difficult","communality",0.15,0.15,3.47,0.29
