"","Organized","Backache_Frequency","Swea_Frequency","Hot_Flashes","Aches_Joints_Stiffness_Frequency","Falling_Asleep","Extremities_Aches","Worry_Frequency","Nervous_Freq_30_Day","Restless_Freq_30_Day","Afraid_Freq_30_Day","Jittery_Freq_30_Day","People_Mean","Upset_Think_Day","Minor_Setback_Irritate","Frustrated_Freq_30_Day","Upset_Freq_30_Day","Others_More_Life","Disapoint_Acheivment","Gave_Up","Mood_Up_Down","Expect_The_Best","If_Go_Wrong_It_Will","Optimistic_About_Future","Hardly_Expect_Go_My_Way","Rarely_Good_Happen","Expect_Good_Not_Bad","Hopeless_Freq","Everything_Effort","Worthless_Freq","Irritable_Freq","Ashamed_Freq","Sense_Of_Direction","No_Good_Sense","Good_Manage_Responsibility","Overwhelmed_Responsibility","Actively_Carry_Plans","Weigh_Possibilities","Fun_Earthquake","Like_Think_Over","Keep_Work_Problems","Like_Difficult_Things","Like_Hard_Work","Cautious_Person","Fun_Tight_Rope","High_Standards","Plan_Future","Live_Day_By_Day","Difficult_Arrange","Maintaining_Relationships_Hard","Dont_Fit_Community","Few_Close_Friends","Enjoy_Convo","No_Warm_Relationship","Like_Time_Alone","Seek_Friends","I_Am_Warm_Person","Prefer_No_Others","Felt_Belong_Freq","Most_See_Love","Lonely_Frequency","Angry_Freq","Not_Afraid_Opinion","Confidence_If_Contrary","Difficult_Voice_Opinion","Others_Describe_Giving","Angry_Ready_Hit","Enjoy_Hurting_Say_Mean","When_Insult_Get_Even","Sometimes_Just_Hit_Someone","Activities_Trivial","Self_Attitude","Will","Change_For_Better","Too_Much_Get_Done","Dont_Give_Up","Know_Want_Life","Too_Many_Things","No_Sense_Planning","Goal_Keep_Benefits","If_No_Goal_Think_Others","More_Sucessful","Influenced_By_People","Social_Others_Lead","Dont_Feel_Community","Community_Source_Comfort","People_Kind"
"Organized",0.220107302516904,-0.0631783025189131,-0.0467213187024704,-0.0407440228238789,-0.0700133637150094,-0.0802684208302482,-0.0624917611543985,-0.0378456704418007,-0.109550413604846,-0.122297186478043,-0.10610144954187,-0.130585163364414,-0.0613273971963859,-0.0742684876732875,-0.072963933430295,-0.117415998425555,-0.112089242952406,-0.120040338352098,-0.100702083306555,-0.162302531156316,-0.110491201491513,0.0349871029853003,0.0203581256740774,0.105770771058533,0.00276323375372528,0.00837062682738166,0.0528336321423998,-0.111683063448441,-0.109171904412397,-0.143318682552949,-0.127168841954266,-0.148133340562713,0.192861460488551,-0.178913043928695,0.236114298278493,-0.109334644421853,0.222133124427271,0.280942698496506,-0.102672501612177,0.284278203986449,0.248936493423529,0.178443954552145,0.203163764117007,0.20184960045633,-0.0417423296011172,0.265962507262807,0.202125331374536,-0.0955486305162231,-0.146879139308226,-0.0843884513343681,-0.0930313782062706,-0.100961819509433,0.138108741397109,-0.0770902640001812,-0.00174970416809105,0.0106177926634074,0.108270485210026,-0.0423838574702726,0.11167849611585,0.0970085158140744,-0.0974959453312176,0.111723260202212,0.113273151178607,0.158521977905704,-0.128966129289497,0.15514138025927,-0.122103563628041,-0.1707641382418,-0.0955462558631049,-0.13270671301966,-0.15414343548087,-0.099948236862919,0.194408054068415,0.22347887185541,0.247949288965552,0.284489250708967,0.221599420792336,-0.0548652391471472,-0.0297333887544995,0.214802423743349,0.131375380662379,0.0355776222122245,-0.122649119662662,-0.0382052689760542,-0.0575576234026251,0.0136054310318561,0.0299771172349679
"Backache_Frequency",-0.0631783025189131,0.351211696827965,0.299553478327861,0.275825746065612,0.480478344327101,0.327185159587968,0.435071515499052,0.209373839355933,0.275469980280502,0.317177386516339,0.252320230559386,0.313057959439721,0.166181902384794,0.191272785828719,0.164491428988605,0.267054531054173,0.254100006907224,0.183526560452132,0.192832465416357,0.174597749508908,0.204264154224208,-0.0790536296597654,0.189763452671823,-0.146137303054839,0.202982655537458,0.196197324501093,-0.165921130086348,0.322364009925449,0.31431698222183,0.322046325233495,0.267368887994163,0.233658102979391,-0.162897114173404,0.174341511334763,-0.12076655715588,0.136663696655353,-0.105636639632508,-0.0414384148572671,-0.0226054932267496,-0.0171774457167863,0.0587221595853251,-0.00773231500109376,-0.0291789055847604,0.0304703431803334,-0.0155200102732402,-0.0227512689434963,-0.0839072301783203,0.059309281945933,0.199975582498995,0.176130136680694,0.153621885300087,0.184779856310824,-0.115842578226884,0.181337117528716,-0.030406728285559,-0.0299640336718145,-0.0235506568347734,0.121700166364428,-0.197416736367126,-0.0393610200751609,0.263652905687859,-0.234022858376997,-0.0166516041262873,-0.0933867122246345,0.0831603276152968,-0.0341700096875221,0.134689809514955,0.0864781598106955,0.063053602032804,0.126182534248104,0.155157444671786,0.192656914412462,0.0102329997027768,-0.0364017059834776,-0.030121116572571,-0.00263554823537262,-0.0991635401199079,0.120882026381634,0.102367662847249,-0.0360685916498864,-0.0314335608157442,-0.132552176695288,0.0454635980760868,0.0395991721845632,0.171644022486577,-0.110081045394164,-0.11245966594629
"Swea_Frequency",-0.0467213187024704,0.299553478327861,0.288502398350408,0.261369706558434,0.386505188191003,0.285408682840306,0.358574542353332,0.217200619958367,0.278978120198886,0.315560046958605,0.260830166407792,0.312944749976105,0.2084646917382,0.210118218108909,0.184864549931112,0.273374230409197,0.272061184582737,0.152203724677394,0.17053318572255,0.139483024582315,0.224404315282243,-0.0631135898028883,0.238231451843807,-0.124950165368284,0.248780680912389,0.231967582057142,-0.168328871365542,0.325865235255935,0.305523048511782,0.31252455403715,0.270623388555403,0.237954990618813,-0.107330191526622,0.122472622192945,-0.0883302350651884,0.133811342550272,-0.0627857145946445,-0.0502740893871526,-0.0217814296588523,-0.0313199761977102,0.0896558367217317,0.0229957265404826,0.00582634596536677,0.0366567976781347,-0.000344434099735488,0.00123691681461487,-0.0629326221999436,0.0762774927521636,0.17290365509745,0.160172505935183,0.130604807837981,0.149284699774674,-0.0960824341624104,0.165816567629973,-0.00951737617576946,-0.0108456705722366,-0.000426211924954911,0.109698381398048,-0.174026737212152,-0.00890148561586032,0.25163565348689,-0.258817158135815,0.0043013727008526,-0.0809841600997339,0.0709401879590088,0.00150824103132319,0.185173757044078,0.125247463633887,0.0954716475259096,0.179615307499704,0.115187716635988,0.177585103068745,0.0466964881168685,-0.0119915400934292,0.0172091813341406,0.0382649821608009,-0.056179962018432,0.161527210029307,0.130087479709118,-0.00753062678093335,-0.0138459947041666,-0.17552645133125,0.0446141444604904,0.0116014885343077,0.161503242956105,-0.102062532752815,-0.123245206534486
"Hot_Flashes",-0.0407440228238789,0.275825746065612,0.261369706558434,0.282648259519526,0.37735126743977,0.273923136791235,0.353091857351775,0.178356047263566,0.269444687879078,0.28870480594153,0.249735473436439,0.296167157160041,0.0905892699973581,0.151976648521675,0.120181443562473,0.235473196333507,0.244677179047974,0.0887887956037628,0.117059302795541,0.102582704535536,0.142822173209136,-0.0280793099638156,0.143280773063331,-0.0810529131995226,0.143503205420803,0.123399207411071,-0.0770040953428352,0.273183238071915,0.276453568510346,0.267322448626365,0.235765022123988,0.207750581977012,-0.0496565913238268,0.0646165848738537,-0.0503760948437531,0.146599816013076,-0.043777260722844,-0.0293154161815501,-0.120531929888719,-0.0101937227139588,0.00197414709309776,-0.0861065590899882,-0.0437449605690253,0.0676517079276419,-0.0899381283063825,-0.0384890558252848,-0.0678577500493727,0.0871244621956606,0.127826242946879,0.074383891638013,0.0513383575383261,0.0766212430040744,-0.00389728244890555,0.0739792593777111,-0.0100301048304266,0.0110134974548513,0.0913329855306522,0.0469788785073327,-0.108497739830638,0.0898040279192364,0.219197436401645,-0.207644256171494,-0.045699984457475,-0.0815777421258307,0.126337300519768,0.0839996896384972,0.0717082093490445,0.0129385108497605,-0.0217077923170903,0.0583197032053308,0.0628426954588969,0.129343135741266,0.0344174735702038,0.00619339656569109,-0.00322076008332584,-0.0127303318368054,-0.0370180699881953,0.14768857523202,0.136091146745688,-0.0253062155862325,-0.0109679225898327,-0.0896998543731112,0.0583333378408256,0.0546203152479568,0.0788306427877835,-0.0278248995156123,-0.0324982328897644
"Aches_Joints_Stiffness_Frequency",-0.0700133637150094,0.480478344327101,0.386505188191003,0.37735126743977,0.725588696276951,0.422464851260389,0.643752918296668,0.168248657990506,0.254609683248396,0.320342167427434,0.201266765239462,0.317733451168249,0.105256762023187,0.153157163615326,0.120176447824681,0.219529087817993,0.198695020801005,0.133121964729346,0.153879672004532,0.174599281341464,0.153625725412905,-0.053817982841703,0.129017366078032,-0.118288614131651,0.124914973239332,0.126540350342776,-0.113548125312647,0.267822865201079,0.315221697228556,0.278450827997257,0.235262195601663,0.174263643381727,-0.143564440659072,0.138624745361917,-0.0976795667533118,0.113175183213947,-0.0966394696548814,-0.0388109812703626,-0.0851114812802126,-0.0115462089209497,0.00362657668251238,-0.0685732173237654,-0.0690533295347074,0.0299360954231955,-0.0807952123689537,-0.059667615055821,-0.0928933959737296,0.0816852652615128,0.154420014556191,0.129369024831769,0.117266833022675,0.132869431275454,-0.0735751154394233,0.133913353099153,-0.0405270227189091,-0.0330665600624867,0.00670542942216975,0.113626680815178,-0.146302669686847,-0.0112862151846111,0.21381820215081,-0.173566760638962,-0.0207498388084632,-0.0910018905668363,0.090192988002453,-0.00746870999055368,0.0948264736117868,0.0337024405395432,0.0147613037784555,0.087716179880483,0.132487000698541,0.149199788500165,0.0202125743427334,-0.0188435024278513,-0.0594406621454914,-0.040124688198866,-0.0894798971788223,0.0936473361137994,0.104446499052239,-0.0530134358536347,-0.0411896172440854,-0.0774512158967177,0.0292993108510565,0.0619658513517647,0.139856078410513,-0.0869034450864224,-0.0821040827060938
"Falling_Asleep",-0.0802684208302482,0.327185159587968,0.285408682840306,0.273923136791235,0.422464851260389,0.3295092954913,0.389383929627942,0.252284248089492,0.349159958946126,0.374617815487387,0.333323778474044,0.376463139236402,0.167661227362962,0.229899344005728,0.20023710429927,0.339643375144283,0.333495345939974,0.212096915509796,0.21827287479261,0.186208559290258,0.240700781024731,-0.0816364763255191,0.179706825244542,-0.158683311716174,0.195081445852646,0.182337233497089,-0.155054762687172,0.387643396583186,0.365876192493666,0.388137293529852,0.336823583990405,0.310186715977644,-0.176375150206859,0.204239910562339,-0.151137288607132,0.188294805788326,-0.128388576313878,-0.052509705319523,-0.0249373847039741,-0.0254030058935699,0.0330000392492004,-0.0412521628849651,-0.053840193826949,0.0406488843508003,-0.0163014058583382,-0.0397714527708183,-0.0910061213289438,0.0517268273629528,0.244795536078708,0.194670146648654,0.166409608696544,0.215794476862473,-0.11874556697689,0.191263404779488,-0.0375955027197584,-0.0261271071342235,-0.0147795846291338,0.128693179538164,-0.233534640505173,-0.0248047237721562,0.328415619241876,-0.299838967485144,-0.0518626556054188,-0.113261226473797,0.131043634243649,-0.0315073367310239,0.133068287963543,0.0961580229510903,0.0564644111394379,0.120165767275245,0.176526612981584,0.222680805511871,-0.0168011457428786,-0.056234883326671,-0.0532896688009397,-0.0316643943674617,-0.116694806220248,0.140585951728365,0.105221240326149,-0.0465913098036714,-0.0289589608999882,-0.137115822112731,0.0851067693599258,0.0636086570417511,0.16991530596741,-0.0925688308243177,-0.0941621128936425
"Extremities_Aches",-0.0624917611543986,0.435071515499052,0.358574542353332,0.353091857351775,0.643752918296668,0.389383929627942,0.57827742983966,0.175736903808581,0.257704672178394,0.314742142792275,0.218505471616998,0.313834053501948,0.122653097061943,0.163988933266321,0.132682446820271,0.22563952162482,0.211681835432357,0.149175454241918,0.171283642366005,0.181389672027166,0.164143155847287,-0.050186960684257,0.158517338420957,-0.11802571611044,0.157204837006941,0.154411519785119,-0.119166723055756,0.284862822725713,0.315364791815309,0.291340751755725,0.234380396486867,0.190155954740479,-0.134204681635277,0.145430670880373,-0.086710662016778,0.128649650217716,-0.0913116776218057,-0.029457881678506,-0.0918991942914201,0.00129977092849451,0.0174628735915236,-0.0679550267324117,-0.0631721785526288,0.0521434416014729,-0.0807046800993102,-0.0515436201198674,-0.0969180983771818,0.0996926726478544,0.168459187386632,0.141283350087975,0.124952380172579,0.146273960704616,-0.0671530191919771,0.148804067735625,-0.0386532151942018,-0.0300606151278237,0.0209851124458738,0.115370795957074,-0.152611612372063,0.00675014674138296,0.229417599949759,-0.18500956404483,-0.0177534883901958,-0.0840507547915817,0.0994817599232633,0.0101582907882628,0.103071642597765,0.0386243586254678,0.0169173139930118,0.0958368301766991,0.137364196131567,0.166103647875469,0.0296385602919411,-0.0114654325300603,-0.0415868205292788,-0.0243951996209864,-0.0850770942500478,0.124421834308819,0.132236160854286,-0.0422886574322905,-0.0329804484227257,-0.10052532663561,0.037452653952298,0.0652306132350038,0.150000303048101,-0.0868129857137283,-0.082192495548345
"Worry_Frequency",-0.0378456704418007,0.209373839355932,0.217200619958367,0.178356047263566,0.168248657990506,0.252284248089493,0.175736903808581,0.364543124622865,0.43556074142688,0.422358743373743,0.441894874082748,0.422021405932671,0.288790567418622,0.351502079582817,0.326624869627727,0.449966505087685,0.451658072588227,0.3073439287041,0.29377042560792,0.195152929991227,0.362010458248266,-0.159150443269974,0.321840010915709,-0.235715702939965,0.359697782483152,0.332606957724969,-0.274965146289198,0.50605145325661,0.412054244915409,0.483874279831914,0.430414018852183,0.415370307159503,-0.210538558642949,0.262995844153995,-0.183245895512169,0.262203381248368,-0.130188692332825,-0.00416803336117293,0.0365682078597377,0.0401628020547166,0.161254399492791,0.0581013118781107,0.0286172743824412,0.117643213527471,0.0579038636960352,0.0598770039414604,-0.0424715346508499,-0.0237565758056756,0.336251512474231,0.291015989373238,0.243185430913261,0.317620513996124,-0.194284186164702,0.289139775032815,-0.0389275453719452,-0.0305498009487795,-0.0704047784478421,0.179054836266481,-0.33321692189758,-0.0837676148585288,0.42394022746165,-0.421798175010431,-0.0648064291922993,-0.133041504107213,0.152684473017806,-0.0791583324885556,0.208519900319073,0.178173543469249,0.145372261245432,0.193316960014242,0.218961878363012,0.324457494812546,-0.0235292057858193,-0.076679784836862,0.014501269604593,0.0568491340406441,-0.111802329119137,0.180716534691552,0.0959064573498644,0.00436904367223337,-0.00256197203466254,-0.24967023973284,0.119889394968483,0.0676940254161783,0.241823267287649,-0.146998361335401,-0.165743235259454
"Nervous_Freq_30_Day",-0.109550413604846,0.275469980280502,0.278978120198885,0.269444687879078,0.254609683248396,0.349159958946126,0.257704672178394,0.43556074142688,0.604364128855106,0.582744480760199,0.597061753501158,0.598335583736665,0.276074266829382,0.429295493085219,0.395273800069175,0.600990605113438,0.611615956621867,0.324705219848337,0.316215319521263,0.224846402063873,0.435082192843139,-0.141592687212864,0.256906091520191,-0.244383298225984,0.282466315508837,0.24723163736653,-0.212378050063542,0.625657522581391,0.549993498872734,0.613562997113211,0.591299068047612,0.561636695858963,-0.230142934300186,0.299508613196796,-0.255149050623752,0.355106570835911,-0.186365666625911,-0.077595631168201,0.00893563361272085,-0.0291303449379401,0.0372842387579354,-0.0685530449654419,-0.0745511671213186,0.0998240847635276,0.0236674736720342,-0.0356866793179143,-0.0809149329760218,-0.00929010502469751,0.399971247710633,0.302477277001375,0.249265703413319,0.340687114180789,-0.187588826993125,0.277422509587664,-0.0652874888779818,-0.0296924924477495,-0.0533179212110827,0.205934974064315,-0.381086438076066,-0.0489476274783613,0.534023397726669,-0.554623453062987,-0.138954434051653,-0.183736130196082,0.255509154981764,-0.0760806281894342,0.228448199695149,0.216379080163013,0.137466082118393,0.209132643175956,0.251705556120137,0.352034221395926,-0.0879010405858104,-0.129652355839153,-0.0845604489562066,-0.0644700073116031,-0.154326526219542,0.215297094005749,0.107032456470212,-0.0494330477678227,-0.0171904638725781,-0.23514136155812,0.201020689099189,0.122989185130168,0.217763685713676,-0.0939255755643855,-0.119520088308962
"Restless_Freq_30_Day",-0.122297186478043,0.317177386516338,0.315560046958605,0.28870480594153,0.320342167427434,0.374617815487387,0.314742142792275,0.422358743373743,0.582744480760199,0.587751645832424,0.581785376125252,0.597942384386238,0.30877591592411,0.41090800345749,0.37908551178761,0.596293116818396,0.601876734951225,0.326270729475524,0.326529147662976,0.237346357896156,0.438325631297564,-0.118459846032412,0.272034947412736,-0.229045803136947,0.296176454217641,0.266656538204728,-0.216401732081342,0.636192335355815,0.561335743743909,0.624250689230861,0.584556393737259,0.55805896567384,-0.237450128362547,0.305474988496018,-0.24762186983057,0.306835687147509,-0.183456670435014,-0.101292324979355,0.0425312958914166,-0.0666363765727677,0.0633250675230095,-0.0222134500070164,-0.0633135005140432,0.0519181905915539,0.0541279745496822,-0.0363057012161248,-0.0976843872653227,0.0319186672534073,0.390646344118931,0.31842264986609,0.263994759925289,0.34544145739617,-0.20151489367707,0.297185748990295,-0.0619957435301532,-0.0388636649140049,-0.066719144163659,0.218511635945925,-0.386590882491273,-0.0621664021380256,0.539837369254962,-0.556379995401379,-0.0770179311582373,-0.153369449704975,0.189228618144156,-0.0807113289186817,0.270935417879276,0.248047666714751,0.166929528733916,0.254289028042034,0.260297501545836,0.33889865587595,-0.0527040828196087,-0.10901998975397,-0.0755492923623177,-0.0418738194471669,-0.156887149473777,0.229267805042296,0.127878753715888,-0.0418154208307531,-0.0175852707358641,-0.250628132703688,0.165038226696788,0.0744742473267603,0.243615562741498,-0.119502735473529,-0.146049717574691
